b:tnow in s,s:ut in p.u.,s:cur1 in p.u.,s:Q1 in Mvar,s:P1 in MW
0,0.982,0.81069,198.251784,520.811072
0.01,0.981935,0.811011,198.313711,520.983918
0.02,0.981933,0.811012,198.311465,520.984394
0.03,0.981932,0.811013,198.308524,520.985351
0.04,0.98193,0.811014,198.305205,520.98681
0.05,0.981929,0.811016,198.301701,520.988797
0.06,0.981929,0.811018,198.298112,520.991329
0.07,0.981929,0.81102,198.294494,520.994415
0.08,0.981929,0.811023,198.290868,520.998058
0.09,0.981929,0.811027,198.287245,521.002245
0.1,0.98193,0.811031,198.283623,521.006961
0.11,0.981931,0.811035,198.279997,521.012179
0.12,0.981932,0.81104,198.276362,521.017871
0.13,0.981933,0.811046,198.27271,521.024001
0.14,0.981935,0.811051,198.269034,521.030533
0.15,0.981936,0.811057,198.26533,521.037424
0.16,0.981938,0.811064,198.261593,521.044634
0.17,0.98194,0.81107,198.257819,521.052118
0.18,0.981942,0.811077,198.254006,521.059832
0.19,0.981944,0.811084,198.250154,521.067729
0.2,0.981946,0.811091,198.246262,521.075763
0.21,0.981949,0.811098,198.242331,521.083889
0.22,0.981951,0.811106,198.238362,521.09206
0.23,0.981953,0.811113,198.234358,521.10023
0.24,0.981956,0.81112,198.230322,521.108353
0.25,0.981958,0.811126,198.226257,521.116384
0.26,0.981961,0.811133,198.222169,521.124279
0.27,0.981964,0.811139,198.218061,521.131994
0.28,0.981966,0.811145,198.21394,521.139485
0.29,0.981969,0.81115,198.209809,521.146713
0.3,0.981972,0.811155,198.205677,521.153636
0.31,0.981974,0.81116,198.201547,521.160215
0.32,0.981977,0.811164,198.197428,521.166413
0.33,0.98198,0.811167,198.193325,521.172194
0.34,0.981983,0.81117,198.189245,521.177525
0.35,0.981985,0.811173,198.185195,521.182372
0.36,0.981988,0.811174,198.181181,521.186705
0.37,0.981991,0.811175,198.177211,521.190497
0.38,0.981994,0.811175,198.173292,521.193721
0.39,0.981996,0.811174,198.169429,521.196353
0.4,0.981999,0.811173,198.165631,521.198372
0.41,0.982002,0.81117,198.161903,521.199758
0.42,0.982005,0.811167,198.158252,521.200495
0.43,0.982008,0.811163,198.154685,521.200569
0.44,0.98201,0.811158,198.151207,521.199968
0.45,0.982013,0.811152,198.147826,521.198684
0.46,0.982016,0.811146,198.144546,521.196709
0.47,0.982018,0.811138,198.141373,521.194041
0.48,0.982021,0.81113,198.138314,521.190678
0.49,0.982024,0.811121,198.135372,521.186623
0.5,0.982026,0.811111,198.132553,521.18188
0.51,0.982029,0.8111,198.129862,521.176457
0.52,0.982031,0.811088,198.127303,521.170363
0.53,0.982034,0.811076,198.124881,521.163611
0.54,0.982036,0.811063,198.122598,521.156217
0.55,0.982038,0.811049,198.120459,521.148198
0.56,0.982041,0.811034,198.118467,521.139576
0.57,0.982043,0.811019,198.116625,521.130372
0.58,0.982045,0.811003,198.114934,521.120612
0.59,0.982047,0.810986,198.113398,521.110325
0.6,0.982049,0.810969,198.112019,521.099539
0.61,0.982051,0.810952,198.110797,521.088287
0.62,0.982053,0.810934,198.109734,521.076603
0.63,0.982055,0.810915,198.108831,521.064522
0.64,0.982057,0.810897,198.108089,521.052084
0.65,0.982058,0.810878,198.107507,521.039326
0.66,0.98206,0.810858,198.107086,521.02629
0.67,0.982061,0.810839,198.106824,521.013019
0.68,0.982063,0.810819,198.106722,520.999555
0.69,0.982064,0.8108,198.106778,520.985943
0.7,0.982065,0.81078,198.10699,520.97223
0.71,0.982066,0.810761,198.107356,520.958461
0.72,0.982067,0.810742,198.107875,520.944683
0.73,0.982068,0.810723,198.108544,520.930944
0.74,0.982069,0.810704,198.10936,520.917291
0.75,0.98207,0.810685,198.11032,520.903773
0.76,0.98207,0.810667,198.111421,520.890436
0.77,0.982071,0.81065,198.11266,520.877329
0.78,0.982071,0.810633,198.114032,520.864498
0.79,0.982071,0.810616,198.115533,520.851991
0.8,0.982071,0.810601,198.117159,520.839852
0.81,0.982071,0.810586,198.118906,520.828127
0.82,0.982071,0.810571,198.120768,520.81686
0.83,0.982071,0.810558,198.12274,520.806093
0.84,0.98207,0.810546,198.124818,520.795868
0.85,0.98207,0.810534,198.126997,520.786223
0.86,0.982069,0.810524,198.129269,520.777198
0.87,0.982068,0.810514,198.13163,520.768827
0.88,0.982067,0.810506,198.134075,520.761146
0.89,0.982066,0.810499,198.136596,520.754186
0.9,0.982065,0.810493,198.139188,520.747977
0.91,0.982063,0.810488,198.141845,520.742547
0.92,0.982062,0.810484,198.14456,520.73792
