b:tnow in s,s:ut in p.u.,s:cur1 in p.u.,s:Q1 in Mvar,s:P1 in MW
0,1.0278,0.750563,0.439926,540
0.01,1.02768,0.751322,0.579162,540.48242
0.02,1.027677,0.751326,0.575861,540.484052
0.03,1.027674,0.751325,0.572446,540.481639
0.04,1.027673,0.751319,0.568764,540.476426
0.05,1.027672,0.751309,0.564753,540.469273
0.06,1.027671,0.751298,0.56039,540.460728
0.07,1.027671,0.751284,0.555691,540.451159
0.08,1.027672,0.751269,0.550679,540.440815
0.09,1.027674,0.751253,0.545382,540.429866
0.1,1.027676,0.751236,0.539827,540.418434
0.11,1.027678,0.751218,0.534042,540.406607
0.12,1.027681,0.751199,0.528051,540.394459
0.13,1.027684,0.751179,0.521878,540.382045
0.14,1.027687,0.751159,0.515544,540.369417
0.15,1.027691,0.751138,0.50907,540.356622
0.16,1.027696,0.751117,0.502476,540.343701
0.17,1.0277,0.751096,0.49578,540.330695
0.18,1.027705,0.751074,0.489002,540.317644
0.19,1.02771,0.751053,0.48216,540.304587
0.2,1.027715,0.751031,0.475272,540.291561
0.21,1.02772,0.751009,0.468357,540.278603
0.22,1.027725,0.750987,0.461433,540.265748
0.23,1.027731,0.750965,0.454518,540.253032
0.24,1.027737,0.750944,0.44763,540.240487
0.25,1.027742,0.750922,0.440788,540.228146
0.26,1.027748,0.750901,0.434008,540.216038
0.27,1.027754,0.750881,0.427308,540.204193
0.28,1.02776,0.75086,0.420706,540.192637
0.29,1.027765,0.750841,0.414218,540.181395
0.3,1.027771,0.750821,0.40786,540.17049
0.31,1.027777,0.750802,0.401648,540.159942
0.32,1.027782,0.750784,0.395598,540.14977
0.33,1.027788,0.750766,0.389723,540.13999
0.34,1.027794,0.750749,0.384038,540.130616
0.35,1.027799,0.750733,0.378556,540.12166
0.36,1.027804,0.750717,0.37329,540.113132
0.37,1.02781,0.750702,0.36825,540.105038
0.38,1.027815,0.750688,0.363448,540.097385
0.39,1.027819,0.750674,0.358894,540.090174
0.4,1.027824,0.750661,0.354596,540.083407
0.41,1.027829,0.750649,0.350562,540.077084
0.42,1.027833,0.750638,0.3468,540.071202
0.43,1.027837,0.750627,0.343316,540.065757
0.44,1.027841,0.750617,0.340115,540.060742
0.45,1.027845,0.750608,0.337201,540.056151
0.46,1.027848,0.7506,0.334577,540.051975
0.47,1.027852,0.750592,0.332245,540.048204
0.48,1.027855,0.750585,0.330207,540.044828
0.49,1.027858,0.750579,0.328462,540.041834
0.5,1.02786,0.750574,0.327011,540.039211
0.51,1.027862,0.750569,0.325851,540.036945
0.52,1.027864,0.750565,0.324981,540.035022
0.53,1.027866,0.750561,0.324395,540.033429
0.54,1.027868,0.750558,0.324091,540.032152
0.55,1.027869,0.750556,0.324064,540.031176
0.56,1.02787,0.750554,0.324306,540.030487
0.57,1.027871,0.750553,0.324812,540.030072
0.58,1.027872,0.750552,0.325574,540.029916
0.59,1.027872,0.750552,0.326584,540.030005
0.6,1.027872,0.750553,0.327833,540.030327
0.61,1.027872,0.750553,0.329312,540.03087
0.62,1.027871,0.750555,0.33101,540.03162
0.63,1.027871,0.750557,0.332919,540.032567
0.64,1.02787,0.750559,0.335026,540.033699
0.65,1.027869,0.750561,0.337321,540.035008
0.66,1.027868,0.750564,0.339791,540.036482
0.67,1.027866,0.750568,0.342425,540.038115
0.68,1.027865,0.750571,0.34521,540.039897
0.69,1.027863,0.750575,0.348135,540.041822
0.7,1.027861,0.75058,0.351187,540.043883
0.71,1.027858,0.750584,0.354352,540.046074
0.72,1.027856,0.750589,0.357618,540.048391
0.73,1.027854,0.750595,0.360973,540.05083
0.74,1.027851,0.7506,0.364404,540.053385
0.75,1.027848,0.750606,0.367898,540.056055
0.76,1.027845,0.750612,0.371443,540.058837
0.77,1.027842,0.750618,0.375026,540.061727
0.78,1.027839,0.750625,0.378636,540.064725
0.79,1.027836,0.750631,0.382261,540.067829
0.8,1.027832,0.750638,0.385889,540.071037
0.81,1.027829,0.750645,0.38951,540.074349
0.82,1.027826,0.750653,0.393113,540.077763
0.83,1.027822,0.75066,0.396687,540.081279
0.84,1.027819,0.750668,0.400224,540.084896
0.85,1.027815,0.750675,0.403713,540.088611
0.86,1.027811,0.750683,0.407146,540.092425
0.87,1.027808,0.750691,0.410515,540.096336
0.88,1.027804,0.7507,0.413812,540.100342
0.89,1.0278,0.750708,0.417031,540.104441
0.9,1.027797,0.750717,0.420164,540.108631
0.91,1.027793,0.750725,0.423206,540.112908
0.92,1.027789,0.750734,0.426152,540.117269
0.93,1.027786,0.750743,0.428997,540.12171
0.94,1.027782,0.750752,0.431737,540.126228
0.95,1.027779,0.750761,0.434368,540.130817
0.96,1.027775,0.75077,0.436889,540.135471
0.97,1.027772,0.750779,0.439297,540.140184
0.98,1.027768,0.750788,0.44159,540.144951
0.99,1.027765,0.750797,0.443767,540.149762
1,1.027762,0.750806,0.445828,540.154611
1.01,1.027758,0.750815,0.447774,540.15949
1.02,1.027755,0.750824,0.449605,540.164389
1.03,1.027752,0.750833,0.451322,540.169298
1.04,1.027749,0.750842,0.452927,540.174209
1.05,1.027746,0.750851,0.454421,540.179112
1.06,1.027743,0.75086,0.455809,540.183994
1.07,1.027741,0.750869,0.457093,540.188847
1.08,1.027738,0.750878,0.458276,540.193658
1.09,1.027735,0.750886,0.459362,540.198417
1.1,1.027733,0.750895,0.460355,540.203112
1.11,1.02773,0.750903,0.46126,540.207731
1.12,1.027728,0.750911,0.462082,540.212265
1.13,1.027726,0.750919,0.462824,540.216701
1.14,1.027723,0.750926,0.463493,540.221028
1.15,1.027721,0.750934,0.464093,540.225237
1.16,1.027719,0.750941,0.46463,540.229315
1.17,1.027717,0.750948,0.465109,540.233254
1.18,1.027715,0.750955,0.465536,540.237045
1.19,1.027713,0.750961,0.465917,540.240677
1.2,1.027711,0.750968,0.466256,540.244143
1.21,1.027709,0.750973,0.466559,540.247435
1.22,1.027707,0.750979,0.466831,540.250546
1.23,1.027706,0.750984,0.467079,540.253471
1.24,1.027704,0.750989,0.467306,540.256203
1.25,1.027702,0.750994,0.467518,540.258739
