k,Cluster,Frequency,Damping,Size
1,1,0.6220683783490291,-0.38105437261459457,276
2,1,0.5350085796818402,-0.3371045236903416,222
2,2,0.9799808839808055,-0.5617370848587457,54
3,1,0.6555286367021966,-0.3370051386333097,172
3,2,0.15527288652950977,-0.33736616149751386,52
3,3,0.978187631000379,-0.5704438961313096,52
4,1,0.6365692173077254,-0.34152230019700713,165
4,2,0.9736388313218535,-0.7377321726395394,21
4,3,0.15527288652950977,-0.33736616149751386,52
4,4,1.0035880529279977,-0.41537924436370705,38
5,1,1.0035880529279977,-0.41537924436370705,38
5,2,0.17733834580680985,-0.5183643058714619,22
5,3,0.14336734858052175,-0.222169381117802,31
5,4,0.6365692173077254,-0.34152230019700713,165
5,5,1.0087387071773721,-0.7372075239738513,20
6,1,0.17115458742823325,-0.5254159655122684,21
6,2,0.9952072408066993,-0.44739546209865994,32
6,3,0.14336734858052175,-0.222169381117802,31
6,4,1.0087387071773721,-0.7372075239738513,20
6,5,0.6334861477756657,-0.3568886272014775,147
6,6,0.7403347483983311,-0.22906349143869034,25
7,1,0.9952072408066993,-0.44739546209865994,32
7,2,0.13556169205295426,-0.19957446291420256,26
7,3,0.6357210030908627,-0.35679690921371693,146
7,4,1.0087387071773721,-0.7372075239738513,20
7,5,0.15280615445162754,-0.6122583625224816,11
7,6,0.7403347483983311,-0.22906349143869034,25
7,7,0.1962724825875798,-0.3979679700192162,16
8,1,0.15745098079273268,-0.6225441471440043,10
8,2,0.6395750193254535,-0.31399980322361204,115
8,3,0.9923911902651716,-0.4520144443964775,31
8,4,0.13556169205295426,-0.19957446291420256,26
8,5,0.6333145150246677,-0.40457076013264287,51
8,6,1.0087387071773721,-0.7372075239738513,20
8,7,1.0926620800221791,-0.23000948409267943,6
8,8,0.19098338896716782,-0.4045228256832185,17
9,1,0.1962724825875798,-0.3979679700192162,16
9,2,0.6517450518709632,-0.23253686961387485,20
9,3,1.0087387071773721,-0.7372075239738513,20
9,4,0.9923911902651716,-0.4520144443964775,31
9,5,0.6332039732999708,-0.33825244456526654,117
9,6,0.15280615445162754,-0.6122583625224816,11
9,7,0.13556169205295426,-0.19957446291420256,26
9,8,1.0926620800221791,-0.23000948409267943,6
9,9,0.6458759163851505,-0.43161423210574085,29
10,1,0.15745098079273268,-0.6225441471440043,10
10,2,0.6517450518709632,-0.23253686961387485,20
10,3,0.9923911902651716,-0.4520144443964775,31
10,4,0.14306756692152706,-0.2559885175861273,17
10,5,0.6458759163851505,-0.43161423210574085,29
10,6,1.0087387071773721,-0.7372075239738513,20
10,7,1.0926620800221791,-0.23000948409267943,6
10,8,0.1960411521868473,-0.42096688367263135,14
10,9,0.6332039732999708,-0.33825244456526654,117
10,10,0.13288306979473646,-0.15170690850024818,12
