k,Cluster,Frequency,Damping,Size
1,1,0.6375705818355129,-0.3435500370545299,53
2,1,0.9716942235431206,-0.4436460231058935,10
2,2,0.6375705818355129,-0.3435500370545299,43
3,1,0.9716942235431206,-0.4436460231058935,10
3,2,0.6386952243832873,-0.3423844122949909,35
3,3,0.11578366831445919,-0.3949474558033425,8
4,1,0.11950653228661001,-0.5221212725751354,5
4,2,0.10820306932211932,-0.128926237631073,5
4,3,0.9716942235431206,-0.4436460231058935,10
4,4,0.6375705818355129,-0.3435500370545299,33
5,1,0.6576117338461949,-0.060678556566864716,3
5,2,0.11950653228661001,-0.5221212725751354,5
5,3,0.10820306932211932,-0.128926237631073,3
5,4,0.9716942235431206,-0.4436460231058935,9
5,5,0.6375705818355129,-0.3435500370545299,33
6,1,0.6576117338461949,-0.060678556566864716,3
6,2,0.11950653228661001,-0.5221212725751354,5
6,3,0.10820306932211932,-0.128926237631073,3
6,4,0.9716942235431206,-0.4436460231058935,9
6,5,0.6258395303360572,-0.3855470587746286,9
6,6,0.6398461077266904,-0.3362502543227359,24
7,1,0.6576117338461949,-0.060678556566864716,2
7,2,0.9760713903683916,-0.3058575377580684,3
7,3,0.11950653228661001,-0.5221212725751354,5
7,4,0.10820306932211932,-0.128926237631073,3
7,5,0.6258395303360572,-0.3855470587746286,9
7,6,0.9702671401329978,-0.4564415155770367,7
7,7,0.6398461077266904,-0.3362502543227359,24
8,1,0.6576117338461949,-0.060678556566864716,2
8,2,0.9760713903683916,-0.3058575377580684,3
8,3,0.10820306932211932,-0.128926237631073,3
8,4,0.5888753015995424,-0.2525425297577037,4
8,5,0.10815294704849354,-0.3525676269486668,2
8,6,0.6346919602560802,-0.3467845374235614,29
8,7,0.9702671401329978,-0.4564415155770367,7
8,8,0.1363473843738472,-0.5324173450566938,3
9,1,0.6576117338461949,-0.060678556566864716,2
9,2,0.9760713903683916,-0.3058575377580684,3
9,3,0.10820306932211932,-0.128926237631073,3
9,4,0.6386952243832873,-0.3423844122949909,20
9,5,0.6258395303360572,-0.3855470587746286,9
9,6,0.5888753015995424,-0.2525425297577037,4
9,7,0.11578366831445919,-0.3949474558033425,2
9,8,0.9702671401329978,-0.4564415155770367,7
9,9,0.1363473843738472,-0.5324173450566938,3
10,1,0.6576117338461949,-0.060678556566864716,2
10,2,0.9760713903683916,-0.3058575377580684,3
10,3,0.10820306932211932,-0.128926237631073,3
10,4,0.6386952243832873,-0.3423844122949909,20
10,5,0.6258395303360572,-0.3855470587746286,9
10,6,0.5888753015995424,-0.2525425297577037,4
10,7,0.1228515346615458,-0.7322817739295154,1
10,8,0.10815294704849354,-0.3525676269486668,2
10,9,0.9702671401329978,-0.4564415155770367,7
10,10,0.1363473843738472,-0.5324173450566938,2
