k,Cluster,Frequency,Damping,Size
1,1,0.6401438407644225,-0.3371583282845665,114
2,1,0.1283771711849796,-0.2004768438374979,28
2,2,0.6417306663864367,-0.3431905146393956,86
3,1,0.9758712377804546,-0.4634255277485966,29
3,2,0.6386805022235316,-0.3339281906371639,57
3,3,0.1283771711849796,-0.2004768438374979,28
4,1,0.9855739092238393,-0.4597291096744132,26
4,2,0.1764347367446557,-0.5962951142052878,5
4,3,0.6386805022235316,-0.3339281906371639,55
4,4,0.1283771711849796,-0.2004768438374979,28
5,1,1.3666444660084032,-0.9486694949014092,1
5,2,0.9855739092238393,-0.4597291096744132,25
5,3,0.1764347367446557,-0.5962951142052878,5
5,4,0.6386805022235316,-0.3339281906371639,55
5,5,0.1283771711849796,-0.2004768438374979,28
6,1,1.3666444660084032,-0.9486694949014092,1
6,2,0.12522650818305747,-0.3305162807130521,4
6,3,0.9855739092238393,-0.4597291096744132,25
6,4,0.1764347367446557,-0.5962951142052878,5
6,5,0.12913363789646937,-0.1965281446911818,24
6,6,0.6386805022235316,-0.3339281906371639,55
7,1,0.6474074845972303,-0.2890897878616081,10
7,2,1.3666444660084032,-0.9486694949014092,1
7,3,0.12522650818305747,-0.3305162807130521,4
7,4,0.9855739092238393,-0.4597291096744132,25
7,5,0.1764347367446557,-0.5962951142052878,5
7,6,0.12913363789646937,-0.1965281446911818,24
7,7,0.6416816430608042,-0.3395717345631154,45
8,1,0.6474074845972303,-0.2890897878616081,10
8,2,1.3666444660084032,-0.9486694949014092,1
8,3,0.12522650818305747,-0.3305162807130521,4
8,4,0.9773305219794002,-0.5259369993655757,7
8,5,0.1764347367446557,-0.5962951142052878,5
8,6,0.984547367827318,-0.4510784663423893,18
8,7,0.12913363789646937,-0.1965281446911818,24
8,8,0.6416816430608042,-0.3395717345631154,45
9,1,0.6474074845972303,-0.2890897878616081,10
9,2,1.3666444660084032,-0.9486694949014092,1
9,3,0.12522650818305747,-0.3305162807130521,4
9,4,0.24466621643984549,-0.7575741665562428,2
9,5,0.9773305219794002,-0.5259369993655757,7
9,6,0.2817078182952678,-0.5638322111349351,3
9,7,0.984547367827318,-0.4510784663423893,18
9,8,0.12913363789646937,-0.1965281446911818,24
9,9,0.6416816430608042,-0.3395717345631154,45
10,1,0.6474074845972303,-0.2890897878616081,10
10,2,1.3666444660084032,-0.9486694949014092,1
10,3,0.12522650818305747,-0.3305162807130521,4
10,4,0.24466621643984549,-0.7575741665562428,2
10,5,0.9773305219794002,-0.5259369993655757,7
10,6,0.2817078182952678,-0.5638322111349351,3
10,7,0.984547367827318,-0.4510784663423893,18
10,8,0.13561511355044598,-0.0976948640887415,3
10,9,0.1283771711849796,-0.2004768438374979,21
10,10,0.6416816430608042,-0.3395717345631154,45
