k,Cluster,Frequency,Damping,Size
1,1,0.6427861080837355,-0.3430558422147454,54
2,1,0.984901632453312,-0.4495523807072822,10
2,2,0.6391675426975315,-0.3342908017969387,44
3,1,0.6503905597600317,-0.2634480676190467,16
3,2,0.6355812874311263,-0.3464263284533569,28
3,3,0.984901632453312,-0.4495523807072822,10
4,1,0.14650152428795382,-0.1311650581181483,3
4,2,0.6374111066976554,-0.3412500420559136,37
4,3,1.1030785944083668,-0.2406439968767197,4
4,4,0.984901632453312,-0.4495523807072822,10
5,1,0.6187009182392764,-0.4140584967140512,11
5,2,0.14650152428795382,-0.1311650581181483,3
5,3,0.984901632453312,-0.4495523807072822,9
5,4,1.1030785944083668,-0.2406439968767197,4
5,5,0.6371787645439639,-0.3287212374909619,27
6,1,0.6503905597600317,-0.2634480676190467,9
6,2,0.6355812874311263,-0.3464263284533569,25
6,3,0.14650152428795382,-0.1311650581181483,3
6,4,0.2607333393546833,-0.4907681272668158,4
6,5,1.1030785944083668,-0.2406439968767197,4
6,6,0.984901632453312,-0.4495523807072822,9
7,1,0.6503905597600317,-0.2634480676190467,9
7,2,0.6187009182392764,-0.4140584967140512,8
7,3,0.14650152428795382,-0.1311650581181483,3
7,4,0.6374111066976554,-0.3412500420559136,18
7,5,0.2607333393546833,-0.4907681272668158,3
7,6,0.984901632453312,-0.4495523807072822,9
7,7,1.1030785944083668,-0.2406439968767197,4
8,1,0.6503905597600317,-0.2634480676190467,9
8,2,0.6187009182392764,-0.4140584967140512,8
8,3,0.14650152428795382,-0.1311650581181483,3
8,4,0.6374111066976554,-0.3412500420559136,17
8,5,0.2607333393546833,-0.4907681272668158,3
8,6,1.1030785944083668,-0.2406439968767197,4
8,7,0.984901632453312,-0.4495523807072822,9
8,8,0.2605852613464523,-0.3214712674747667,1
9,1,0.6503905597600317,-0.2634480676190467,9
9,2,0.6269203725447564,-0.4023039058234786,6
9,3,0.6300691942148288,-0.5061916206994154,2
9,4,0.14650152428795382,-0.1311650581181483,3
9,5,0.6374111066976554,-0.3412500420559136,17
9,6,0.2607333393546833,-0.4907681272668158,3
9,7,1.1030785944083668,-0.2406439968767197,4
9,8,0.984901632453312,-0.4495523807072822,9
9,9,0.2605852613464523,-0.3214712674747667,1
10,1,0.6503905597600317,-0.2634480676190467,9
10,2,0.6269203725447564,-0.4023039058234786,6
10,3,0.9856057143620938,-0.4507448243581048,5
10,4,0.14650152428795382,-0.1311650581181483,3
10,5,0.9721357594583104,-0.4184392664729509,4
10,6,0.6374111066976554,-0.3412500420559136,17
10,7,0.2607333393546833,-0.4907681272668158,3
10,8,0.6291156904514222,-0.4693533850596235,2
10,9,1.1030785944083668,-0.2406439968767197,4
10,10,0.2605852613464523,-0.3214712674747667,1
