2
-0.0100	9.2000	4.6000
0.0000	9.2000	4.6000
0.0100	9.2001	4.6000
0.0200	9.2002	4.6001
0.0300	9.2004	4.6001
0.0400	9.2004	4.6002
0.0500	9.2004	4.6003
0.0600	9.2002	4.6003
0.0700	9.1997	4.6004
0.0800	9.1992	4.6005
0.0900	9.1986	4.6005
0.1000	9.1981	4.6006
0.1100	9.1978	4.6007
0.1200	9.1978	4.6007
0.1300	9.1981	4.6007
0.1400	9.1987	4.6007
0.1500	9.1995	4.6007
0.1600	9.2004	4.6006
0.1700	9.2013	4.6004
0.1800	9.2022	4.6002
0.1900	9.2028	4.5999
0.2000	9.2032	4.5996
0.2100	9.2032	4.5993
0.2200	9.2029	4.5990
0.2300	9.2023	4.5988
0.2400	9.2015	4.5986
0.2500	9.2005	4.5986
0.2600	9.1996	4.5986
0.2700	9.1988	4.5987
0.2800	9.1981	4.5988
0.2900	9.1975	4.5990
0.3000	9.1971	4.5992
0.3100	9.1969	4.5994
0.3200	9.1967	4.5996
0.3300	9.1968	4.5998
0.3400	9.1970	4.6001
0.3500	9.1975	4.6002
0.3600	9.1980	4.6004
0.3700	9.1987	4.6005
0.3800	9.1993	4.6006
0.3900	9.1998	4.6006
0.4000	9.2002	4.6006
0.4100	9.2005	4.6005
0.4200	9.2005	4.6005
0.4300	9.2005	4.6004
0.4400	9.2004	4.6003
0.4500	9.2003	4.6002
0.4600	9.2002	4.6000
0.4700	9.2002	4.5998
0.4800	9.2001	4.5997
0.4900	9.2002	4.5996
0.5000	9.2002	4.5995
0.5100	9.2002	4.5995
0.5200	9.2002	4.5994
0.5300	9.2001	4.5995
0.5400	9.1999	4.5995
0.5500	9.1996	4.5997
0.5600	9.1993	4.5999
0.5700	9.1989	4.6001
0.5800	9.1986	4.6004
0.5900	9.1984	4.6006
0.6000	9.1984	4.6008
0.6100	9.1985	4.6008
0.6200	9.1988	4.6008
0.6300	9.1992	4.6006
0.6400	9.1996	4.6003
0.6500	9.2000	4.6000
0.6600	9.2003	4.5996
0.6700	9.2006	4.5991
0.6800	9.2007	4.5987
0.6900	9.2009	4.5983
0.7000	9.2011	4.5979
0.7100	9.2012	4.5977
0.7200	9.2015	4.5976
0.7300	9.2018	4.5976
0.7400	9.2023	4.5977
0.7500	9.2028	4.5979
0.7600	9.2034	4.5982
0.7700	9.2039	4.5986
0.7800	9.2045	4.5990
0.7900	9.2049	4.5995
0.8000	9.2052	4.6000
0.8100	9.2054	4.6005
0.8200	9.2054	4.6009
0.8300	9.2052	4.6012
0.8400	9.2050	4.6014
0.8500	9.2047	4.6014
0.8600	9.2043	4.6013
0.8700	9.2038	4.6011
0.8800	9.2033	4.6009
0.8900	9.2026	4.6006
0.9000	9.2019	4.6003
0.9100	9.2011	4.6000
0.9200	9.2003	4.5998
