b:tnow in s,s:ut in p.u.,s:cur1 in p.u.
0,1.0278,0.750563
0.01,1.0278,0.750562
0.02,1.0278,0.750561
0.03,1.027801,0.750559
0.04,1.027801,0.750556
0.05,1.027802,0.750551
0.06,1.027802,0.750544
0.07,1.027804,0.750536
0.08,1.027805,0.750527
0.09,1.027807,0.750517
0.1,1.027808,0.750508
0.11,1.02781,0.750502
0.12,1.02781,0.7505
0.13,1.02781,0.750503
0.14,1.027809,0.75051
0.15,1.027807,0.75052
0.16,1.027805,0.750533
0.17,1.027803,0.750546
0.18,1.027802,0.750556
0.19,1.027801,0.750563
0.2,1.0278,0.750565
0.21,1.027801,0.750562
0.22,1.027802,0.750554
0.23,1.027804,0.750543
0.24,1.027807,0.75053
0.25,1.027809,0.750519
0.26,1.027811,0.750511
0.27,1.027812,0.750509
0.28,1.027812,0.750511
0.29,1.027812,0.750519
0.3,1.027811,0.750529
0.31,1.02781,0.750543
0.32,1.027808,0.750559
0.33,1.027807,0.750576
0.34,1.027805,0.750594
0.35,1.027803,0.750612
0.36,1.0278,0.750628
0.37,1.027798,0.750642
0.38,1.027796,0.750654
0.39,1.027794,0.750662
0.4,1.027793,0.750667
0.41,1.027791,0.750669
0.42,1.02779,0.750669
0.43,1.027789,0.750667
0.44,1.027788,0.750663
0.45,1.027787,0.75066
0.46,1.027786,0.750657
0.47,1.027785,0.750654
0.48,1.027784,0.75065
0.49,1.027784,0.750642
0.5,1.027786,0.75063
0.51,1.027788,0.750613
0.52,1.027791,0.750592
0.53,1.027795,0.750571
0.54,1.027799,0.75055
0.55,1.027802,0.750533
0.56,1.027804,0.75052
0.57,1.027806,0.750511
0.58,1.027806,0.750504
0.59,1.027806,0.750501
0.6,1.027806,0.750499
0.61,1.027805,0.750499
0.62,1.027804,0.750501
0.63,1.027803,0.750502
0.64,1.027802,0.750503
0.65,1.027801,0.750502
0.66,1.027801,0.750501
0.67,1.027802,0.750498
0.68,1.027803,0.750496
0.69,1.027803,0.750496
0.7,1.027804,0.750498
0.71,1.027804,0.750503
0.72,1.027804,0.750513
0.73,1.027802,0.750527
0.74,1.027801,0.750542
0.75,1.027799,0.750555
0.76,1.027797,0.750565
0.77,1.027796,0.750571
0.78,1.027796,0.750573
0.79,1.027795,0.750573
0.8,1.027795,0.750571
0.81,1.027795,0.750569
0.82,1.027795,0.750567
0.83,1.027796,0.750565
0.84,1.027796,0.750563
0.85,1.027797,0.750559
0.86,1.027798,0.750555
0.87,1.027799,0.75055
0.88,1.0278,0.750545
0.89,1.027802,0.750541
0.9,1.027803,0.750538
0.91,1.027805,0.750537
0.92,1.027806,0.750537
0.93,1.027807,0.750539
0.94,1.027808,0.750544
0.95,1.027809,0.750551
0.96,1.027809,0.750559
0.97,1.027809,0.750567
0.98,1.027808,0.750576
0.99,1.027807,0.750587
1,1.027806,0.750597
1.01,1.027804,0.750606
1.02,1.027802,0.750612
1.03,1.027801,0.750615
1.04,1.027799,0.750615
1.05,1.027797,0.750612
1.06,1.027796,0.750606
1.07,1.027795,0.750598
1.08,1.027795,0.750589
1.09,1.027795,0.750579
1.1,1.027795,0.750571
1.11,1.027795,0.750563
1.12,1.027796,0.750556
1.13,1.027797,0.75055
1.14,1.027799,0.750543
1.15,1.027801,0.750537
1.16,1.027803,0.750531
1.17,1.027805,0.750528
1.18,1.027807,0.750527
1.19,1.027808,0.750528
1.2,1.027809,0.750531
1.21,1.027809,0.750534
1.22,1.027809,0.750538
1.23,1.027808,0.750541
1.24,1.027808,0.750543
1.25,1.027807,0.750544
1.26,1.027805,0.750544
1.27,1.027803,0.750543
1.28,1.0278,0.750543
1.29,1.027797,0.750544
1.3,1.027793,0.750547
1.31,1.027789,0.750551
1.32,1.027785,0.750556
1.33,1.027782,0.750563
1.34,1.02778,0.75057
1.35,1.027778,0.750578
1.36,1.027778,0.750588
1.37,1.027778,0.750599
1.38,1.027779,0.750609
1.39,1.027781,0.750616
1.4,1.027783,0.750621
1.41,1.027786,0.750621
1.42,1.027789,0.750616
1.43,1.027792,0.750606
1.44,1.027794,0.750593
1.45,1.027796,0.750577
1.46,1.027797,0.750561
1.47,1.027797,0.750545
1.48,1.027796,0.750533
1.49,1.027795,0.750525
1.5,1.027794,0.750521
1.51,1.027792,0.750521
1.52,1.02779,0.750524
1.53,1.027789,0.750529
1.54,1.027788,0.750535
1.55,1.027787,0.750542
1.56,1.027788,0.750548
1.57,1.027788,0.750557
1.58,1.027788,0.750567
1.59,1.027789,0.750578
1.6,1.027789,0.75059
1.61,1.02779,0.750601
1.62,1.027792,0.75061
1.63,1.027793,0.750617
1.64,1.027794,0.75062
1.65,1.027796,0.750621
1.66,1.027797,0.750619
1.67,1.027798,0.750616
1.68,1.027798,0.750611
1.69,1.027798,0.750605
1.7,1.027798,0.750598
1.71,1.027797,0.750591
1.72,1.027796,0.750583
1.73,1.027794,0.750575
1.74,1.027793,0.750569
1.75,1.027792,0.750563
1.76,1.027792,0.750557
1.77,1.027792,0.75055
1.78,1.027793,0.750543
1.79,1.027795,0.750535
1.8,1.027797,0.750527
1.81,1.0278,0.750521
1.82,1.027803,0.750516
1.83,1.027805,0.750515
1.84,1.027807,0.750518
1.85,1.027808,0.750523
1.86,1.027808,0.75053
1.87,1.027808,0.750536
1.88,1.027807,0.750541
1.89,1.027807,0.750544
1.9,1.027807,0.750544
1.91,1.027806,0.750542
1.92,1.027806,0.750539
1.93,1.027807,0.750536
1.94,1.027807,0.750534
1.95,1.027807,0.750532
1.96,1.027807,0.750532
1.97,1.027807,0.750532
1.98,1.027806,0.750533
1.99,1.027805,0.750536
2,1.027804,0.750541
2.01,1.027803,0.750546
2.02,1.027802,0.750554
2.03,1.0278,0.750564
2.04,1.027798,0.750575
2.05,1.027797,0.750587
2.06,1.027796,0.750599
2.07,1.027795,0.750608
2.08,1.027795,0.750616
2.09,1.027795,0.750621
2.1,1.027796,0.750623
2.11,1.027797,0.750623
2.12,1.027798,0.750621
2.13,1.027799,0.750616
2.14,1.0278,0.750608
2.15,1.027801,0.750597
2.16,1.027803,0.750584
2.17,1.027804,0.750568
2.18,1.027806,0.750551
2.19,1.027808,0.750534
2.2,1.02781,0.750517
2.21,1.027812,0.750501
2.22,1.027813,0.750488
2.23,1.027814,0.750478
2.24,1.027815,0.750472
2.25,1.027816,0.750469
2.26,1.027816,0.75047
2.27,1.027815,0.750476
2.28,1.027815,0.750486
2.29,1.027813,0.7505
2.3,1.027812,0.750515
2.31,1.02781,0.750529
2.32,1.027809,0.750541
2.33,1.027809,0.75055
2.34,1.027809,0.750555
2.35,1.027811,0.750555
2.36,1.027812,0.750552
2.37,1.027814,0.750547
2.38,1.027816,0.750542
2.39,1.027818,0.75054
2.4,1.027818,0.750539
2.41,1.027818,0.750542
2.42,1.027817,0.750548
2.43,1.027816,0.750555
2.44,1.027814,0.750563
2.45,1.027812,0.750572
2.46,1.02781,0.750581
2.47,1.027808,0.750591
2.48,1.027806,0.7506
2.49,1.027804,0.750607
2.5,1.027802,0.750612
2.51,1.027801,0.750614
2.52,1.027801,0.750614
2.53,1.027801,0.750613
2.54,1.0278,0.750612
2.55,1.0278,0.750612
2.56,1.0278,0.750612
2.57,1.0278,0.750614
2.58,1.0278,0.750615
2.59,1.0278,0.750616
2.6,1.027801,0.750613
2.61,1.027801,0.750608
2.62,1.027802,0.750601
2.63,1.027803,0.75059
2.64,1.027803,0.750579
2.65,1.027804,0.750567
2.66,1.027804,0.750555
2.67,1.027804,0.750545
2.68,1.027804,0.750537
2.69,1.027803,0.750532
2.7,1.027802,0.75053
2.71,1.027801,0.750532
2.72,1.027799,0.750537
2.73,1.027797,0.750544
2.74,1.027796,0.750551
2.75,1.027795,0.750557
2.76,1.027794,0.750562
2.77,1.027794,0.750564
2.78,1.027794,0.750563
2.79,1.027795,0.750559
2.8,1.027796,0.75055
2.81,1.027798,0.750539
2.82,1.0278,0.750526
2.83,1.027801,0.750513
2.84,1.027803,0.750503
2.85,1.027804,0.750495
2.86,1.027806,0.75049
2.87,1.027807,0.750487
2.88,1.027808,0.750487
2.89,1.027809,0.750491
2.9,1.027809,0.750499
2.91,1.02781,0.750511
2.92,1.02781,0.750524
2.93,1.027809,0.750537
2.94,1.027809,0.750547
2.95,1.027809,0.750555
2.96,1.027809,0.750558
2.97,1.027809,0.750558
2.98,1.027809,0.750555
2.99,1.02781,0.750548
