b:tnow in s,s:ut in p.u.,s:cur1 in p.u.
0,1.0635,0.764412
0.01,1.0635,0.764412
0.02,1.0635,0.764412
0.03,1.063501,0.764412
0.04,1.063501,0.764412
0.05,1.063502,0.764411
0.06,1.063502,0.76441
0.07,1.063504,0.764408
0.08,1.063506,0.764405
0.09,1.063508,0.764401
0.1,1.06351,0.764397
0.11,1.063511,0.764395
0.12,1.063511,0.764395
0.13,1.063511,0.764396
0.14,1.063509,0.7644
0.15,1.063507,0.764404
0.16,1.063505,0.764407
0.17,1.063503,0.764407
0.18,1.063502,0.764403
0.19,1.063501,0.764395
0.2,1.063502,0.764382
0.21,1.063503,0.764365
0.22,1.063505,0.764346
0.23,1.063508,0.764327
0.24,1.06351,0.764309
0.25,1.063512,0.764296
0.26,1.063513,0.764288
0.27,1.063514,0.764288
0.28,1.063514,0.764294
0.29,1.063513,0.764306
0.3,1.063512,0.764322
0.31,1.06351,0.764341
0.32,1.063508,0.764362
0.33,1.063506,0.764386
0.34,1.063503,0.764411
0.35,1.0635,0.764436
0.36,1.063496,0.76446
0.37,1.063493,0.76448
0.38,1.06349,0.764496
0.39,1.063487,0.764508
0.4,1.063484,0.764515
0.41,1.063482,0.764518
0.42,1.063481,0.764517
0.43,1.063479,0.764513
0.44,1.063478,0.764507
0.45,1.063478,0.764501
0.46,1.063477,0.764496
0.47,1.063477,0.764492
0.48,1.063477,0.764488
0.49,1.063478,0.764483
0.5,1.063481,0.764474
0.51,1.063484,0.764461
0.52,1.063489,0.764443
0.53,1.063494,0.764425
0.54,1.063498,0.764409
0.55,1.063502,0.764396
0.56,1.063504,0.764389
0.57,1.063506,0.764387
0.58,1.063506,0.76439
0.59,1.063505,0.764397
0.6,1.063503,0.764407
0.61,1.063501,0.76442
0.62,1.063499,0.764431
0.63,1.063498,0.76444
0.64,1.063497,0.764445
0.65,1.063497,0.764445
0.66,1.063498,0.764441
0.67,1.0635,0.764432
0.68,1.063501,0.764422
0.69,1.063504,0.764411
0.7,1.063506,0.764401
0.71,1.063507,0.764396
0.72,1.063507,0.764396
0.73,1.063506,0.764402
0.74,1.063503,0.764412
0.75,1.063501,0.764424
0.76,1.063497,0.764435
0.77,1.063495,0.764444
0.78,1.063492,0.76445
0.79,1.06349,0.764452
0.8,1.063489,0.764451
0.81,1.063488,0.764449
0.82,1.063488,0.764446
0.83,1.063488,0.764441
0.84,1.063489,0.764434
0.85,1.063491,0.764425
0.86,1.063493,0.764415
0.87,1.063496,0.764405
0.88,1.063499,0.764394
0.89,1.063502,0.764382
0.9,1.063505,0.76437
0.91,1.063509,0.764359
0.92,1.063511,0.764348
0.93,1.063514,0.76434
0.94,1.063515,0.764334
0.95,1.063516,0.76433
0.96,1.063516,0.764328
0.97,1.063516,0.764328
0.98,1.063514,0.764332
0.99,1.063512,0.764339
1,1.063509,0.764349
1.01,1.063505,0.764362
1.02,1.063501,0.764375
1.03,1.063498,0.764387
1.04,1.063495,0.764396
