b:tnow in s,s:ut in p.u.,s:cur1 in p.u.
0,1.0123,0.87978
0.01,1.0123,0.879781
0.02,1.0123,0.87978
0.03,1.0123,0.87978
0.04,1.0123,0.879779
0.05,1.0123,0.879777
0.06,1.0123,0.87977
0.07,1.012301,0.87976
0.08,1.012302,0.879746
0.09,1.012304,0.879731
0.1,1.012305,0.879718
0.11,1.012307,0.879712
0.12,1.012307,0.879713
0.13,1.012307,0.87972
0.14,1.012306,0.879732
0.15,1.012305,0.879746
0.16,1.012303,0.879759
0.17,1.012301,0.879773
0.18,1.012299,0.879787
0.19,1.012297,0.8798
0.2,1.012296,0.879809
0.21,1.012296,0.879812
0.22,1.012297,0.879806
0.23,1.012299,0.87979
0.24,1.012302,0.879767
0.25,1.012305,0.879741
0.26,1.012307,0.879718
0.27,1.01231,0.879701
0.28,1.012311,0.879694
0.29,1.012312,0.879695
0.3,1.012312,0.879705
0.31,1.012311,0.87972
0.32,1.012309,0.879741
0.33,1.012307,0.879768
0.34,1.012303,0.879799
0.35,1.012299,0.879833
0.36,1.012294,0.879869
0.37,1.012289,0.879902
0.38,1.012284,0.87993
0.39,1.012279,0.879951
0.4,1.012275,0.879964
0.41,1.012272,0.879966
0.42,1.01227,0.879955
0.43,1.01227,0.879934
0.44,1.01227,0.879905
0.45,1.012271,0.879873
0.46,1.012273,0.879842
0.47,1.012275,0.879814
0.48,1.012277,0.879789
0.49,1.01228,0.879766
0.5,1.012284,0.879745
0.51,1.012289,0.879723
0.52,1.012294,0.879706
0.53,1.0123,0.879696
0.54,1.012304,0.879698
0.55,1.012307,0.879712
0.56,1.012309,0.879735
0.57,1.01231,0.879764
0.58,1.012309,0.879794
0.59,1.012308,0.87982
0.6,1.012306,0.879839
0.61,1.012304,0.87985
0.62,1.012301,0.879852
0.63,1.012299,0.879847
0.64,1.012298,0.879835
0.65,1.012297,0.879816
0.66,1.012297,0.879791
0.67,1.012297,0.879762
0.68,1.012299,0.879734
0.69,1.0123,0.879711
0.7,1.012301,0.879696
0.71,1.012302,0.879694
0.72,1.012302,0.879706
0.73,1.012301,0.879731
0.74,1.012299,0.879765
0.75,1.012297,0.879802
0.76,1.012295,0.879836
0.77,1.012293,0.879863
0.78,1.012293,0.879881
0.79,1.012292,0.879887
0.8,1.012293,0.879883
0.81,1.012293,0.879867
0.82,1.012294,0.879843
0.83,1.012295,0.879812
0.84,1.012296,0.879778
0.85,1.012297,0.879743
0.86,1.012299,0.879709
0.87,1.012301,0.879677
0.88,1.012304,0.879648
0.89,1.012306,0.87962
0.9,1.012309,0.879597
0.91,1.012312,0.879579
0.92,1.012314,0.879568
0.93,1.012315,0.879565
0.94,1.012316,0.879571
0.95,1.012315,0.879584
0.96,1.012315,0.879604
0.97,1.012314,0.87963
0.98,1.012312,0.879663
0.99,1.01231,0.879701
1,1.012307,0.87974
1.01,1.012304,0.879778
1.02,1.012301,0.879809
1.03,1.012299,0.879832
1.04,1.012297,0.879845
1.05,1.012295,0.87985
1.06,1.012295,0.879846
1.07,1.012295,0.879834
1.08,1.012296,0.879815
1.09,1.012298,0.87979
1.1,1.012301,0.879764
1.11,1.012304,0.879739
1.12,1.012307,0.879715
1.13,1.01231,0.879696
1.14,1.012314,0.879683
1.15,1.012316,0.87968
1.16,1.012318,0.87969
1.17,1.012318,0.879714
1.18,1.012317,0.87975
1.19,1.012316,0.879792
1.2,1.012314,0.879836
1.21,1.012311,0.879878
1.22,1.012309,0.879913
1.23,1.012306,0.879939
1.24,1.012304,0.879955
1.25,1.012302,0.879961
1.26,1.0123,0.879961
1.27,1.012296,0.879957
1.28,1.012293,0.879949
1.29,1.012289,0.87994
1.3,1.012284,0.879927
1.31,1.01228,0.879911
1.32,1.012277,0.87989
1.33,1.012275,0.879867
1.34,1.012274,0.879845
1.35,1.012274,0.879826
1.36,1.012275,0.879815
1.37,1.012277,0.879813
1.38,1.012279,0.879819
1.39,1.012281,0.879832
1.4,1.012284,0.879848
1.41,1.012287,0.879861
1.42,1.01229,0.879869
1.43,1.012293,0.879869
1.44,1.012295,0.879862
1.45,1.012296,0.879851
1.46,1.012295,0.879837
1.47,1.012294,0.879821
1.48,1.012293,0.879804
1.49,1.012291,0.879785
1.5,1.01229,0.879762
1.51,1.012289,0.879737
1.52,1.012289,0.879711
1.53,1.01229,0.879685
1.54,1.012292,0.87966
1.55,1.012294,0.879639
1.56,1.012297,0.879626
1.57,1.012299,0.879622
1.58,1.012302,0.879629
1.59,1.012304,0.879644
1.6,1.012305,0.879666
1.61,1.012306,0.879691
1.62,1.012307,0.879716
1.63,1.012308,0.87974
1.64,1.012308,0.879758
1.65,1.012308,0.87977
1.66,1.012308,0.879775
1.67,1.012307,0.879775
1.68,1.012306,0.879773
1.69,1.012305,0.879771
1.7,1.012303,0.879773
1.71,1.0123,0.879782
1.72,1.012297,0.879796
1.73,1.012294,0.879813
1.74,1.012292,0.879828
1.75,1.012291,0.879836
1.76,1.012291,0.879835
1.77,1.012293,0.879824
1.78,1.012295,0.879805
1.79,1.012299,0.879782
1.8,1.012302,0.879757
1.81,1.012306,0.879732
1.82,1.012311,0.879711
1.83,1.012314,0.879696
1.84,1.012317,0.87969
1.85,1.012319,0.879694
1.86,1.012319,0.879706
1.87,1.012319,0.879724
1.88,1.012317,0.879742
1.89,1.012315,0.879762
1.9,1.012313,0.879781
1.91,1.01231,0.8798
1.92,1.012307,0.87982
1.93,1.012304,0.87984
1.94,1.012301,0.879859
1.95,1.012298,0.879874
1.96,1.012296,0.879883
1.97,1.012295,0.879883
1.98,1.012294,0.879877
1.99,1.012295,0.879866
2,1.012296,0.879851
2.01,1.012297,0.879834
2.02,1.012299,0.879816
2.03,1.0123,0.879801
2.04,1.012302,0.87979
2.05,1.012303,0.879784
2.06,1.012304,0.879782
2.07,1.012305,0.879783
2.08,1.012306,0.879787
2.09,1.012306,0.879793
2.1,1.012307,0.8798
2.11,1.012308,0.879804
2.12,1.012308,0.879805
2.13,1.012309,0.879801
2.14,1.012309,0.879793
2.15,1.01231,0.87978
2.16,1.01231,0.879762
2.17,1.012312,0.879738
2.18,1.012313,0.87971
2.19,1.012315,0.87968
2.2,1.012318,0.879649
2.21,1.01232,0.879623
2.22,1.012321,0.879604
2.23,1.012322,0.879595
2.24,1.012322,0.879599
