b:tnow in s,s:ut in p.u.,s:cur1 in p.u.
0,0.9972,0.804108
0.01,0.9972,0.804108
0.02,0.9972,0.804108
0.03,0.9972,0.804108
0.04,0.9972,0.804108
0.05,0.9972,0.804106
0.06,0.997201,0.804102
0.07,0.997201,0.804095
0.08,0.997202,0.804085
0.09,0.997204,0.804073
0.1,0.997206,0.804063
0.11,0.997207,0.804056
0.12,0.997208,0.804053
0.13,0.997208,0.804056
0.14,0.997207,0.804063
0.15,0.997205,0.804072
0.16,0.997203,0.804081
0.17,0.997201,0.80409
0.18,0.9972,0.804098
0.19,0.997199,0.804104
0.2,0.997198,0.804106
0.21,0.997198,0.804104
0.22,0.9972,0.804095
0.23,0.997202,0.804082
0.24,0.997204,0.804065
0.25,0.997206,0.804048
0.26,0.997208,0.804035
0.27,0.99721,0.804027
0.28,0.997211,0.804027
0.29,0.997211,0.804033
0.3,0.997211,0.804045
0.31,0.99721,0.804061
0.32,0.997209,0.804081
0.33,0.997207,0.804104
0.34,0.997204,0.804131
0.35,0.997201,0.80416
0.36,0.997197,0.80419
0.37,0.997193,0.804217
0.38,0.997189,0.80424
0.39,0.997186,0.804259
0.4,0.997183,0.804272
0.41,0.99718,0.804277
0.42,0.997178,0.804273
0.43,0.997177,0.804261
0.44,0.997176,0.804244
0.45,0.997176,0.804224
0.46,0.997176,0.804204
0.47,0.997177,0.804184
0.48,0.997178,0.804164
0.49,0.99718,0.804144
0.5,0.997183,0.804122
0.51,0.997187,0.804098
0.52,0.997192,0.804074
0.53,0.997197,0.804054
0.54,0.997202,0.804042
0.55,0.997206,0.804039
0.56,0.997208,0.804044
0.57,0.99721,0.804055
0.58,0.99721,0.804071
0.59,0.997209,0.804087
0.6,0.997208,0.804102
0.61,0.997206,0.804114
0.62,0.997203,0.804122
0.63,0.997201,0.804125
0.64,0.997199,0.804122
0.65,0.997198,0.804113
0.66,0.997198,0.8041
0.67,0.997198,0.804082
0.68,0.997198,0.804064
0.69,0.997199,0.804049
0.7,0.997201,0.804038
0.71,0.997201,0.804036
0.72,0.997202,0.804044
0.73,0.997201,0.804061
0.74,0.9972,0.804085
0.75,0.997198,0.804111
0.76,0.997196,0.804135
0.77,0.997195,0.804155
0.78,0.997194,0.804168
0.79,0.997194,0.804173
0.8,0.997194,0.804172
0.81,0.997194,0.804164
0.82,0.997194,0.804151
0.83,0.997194,0.804133
0.84,0.997195,0.804113
0.85,0.997195,0.80409
0.86,0.997197,0.804068
0.87,0.997198,0.804047
0.88,0.9972,0.804026
0.89,0.997203,0.804008
0.9,0.997205,0.803992
0.91,0.997207,0.803979
0.92,0.997209,0.803971
0.93,0.997211,0.803968
0.94,0.997211,0.803971
0.95,0.997212,0.803979
0.96,0.997212,0.803991
0.97,0.997211,0.804007
0.98,0.99721,0.804027
0.99,0.997208,0.804052
1,0.997206,0.804079
1.01,0.997204,0.804106
1.02,0.997201,0.804131
1.03,0.997199,0.804149
1.04,0.997197,0.804162
1.05,0.997195,0.804169
1.06,0.997194,0.804169
1.07,0.997194,0.804163
1.08,0.997195,0.804152
1.09,0.997196,0.804136
1.1,0.997198,0.804118
1.11,0.9972,0.804099
1.12,0.997203,0.804081
1.13,0.997206,0.804062
1.14,0.997209,0.804047
1.15,0.997211,0.804038
1.16,0.997214,0.804037
1.17,0.997215,0.804045
1.18,0.997216,0.804062
1.19,0.997215,0.804085
1.2,0.997215,0.804111
1.21,0.997214,0.804138
1.22,0.997213,0.804162
1.23,0.997211,0.804181
1.24,0.99721,0.804195
1.25,0.997208,0.804204
1.26,0.997205,0.804209
1.27,0.997202,0.804212
1.28,0.997198,0.804215
1.29,0.997193,0.804216
1.3,0.997187,0.804217
1.31,0.997181,0.804215
1.32,0.997176,0.80421
1.33,0.997173,0.804202
1.34,0.99717,0.804192
1.35,0.99717,0.804183
1.36,0.99717,0.804175
1.37,0.997172,0.804171
1.38,0.997174,0.80417
1.39,0.997178,0.804171
1.4,0.997182,0.804172
1.41,0.997187,0.804171
1.42,0.997191,0.804166
1.43,0.997194,0.804157
1.44,0.997196,0.804146
1.45,0.997197,0.804133
1.46,0.997197,0.804119
1.47,0.997195,0.804107
1.48,0.997193,0.804095
1.49,0.99719,0.804084
1.5,0.997188,0.804073
1.51,0.997185,0.804062
1.52,0.997184,0.804052
1.53,0.997183,0.804041
1.54,0.997184,0.804031
1.55,0.997185,0.804022
1.56,0.997187,0.804016
1.57,0.99719,0.804015
1.58,0.997192,0.804019
1.59,0.997194,0.804028
1.6,0.997197,0.804039
1.61,0.997199,0.804052
1.62,0.997201,0.804065
1.63,0.997203,0.804077
1.64,0.997205,0.804085
1.65,0.997206,0.80409
1.66,0.997206,0.80409
1.67,0.997206,0.804088
1.68,0.997206,0.804085
1.69,0.997205,0.804083
1.7,0.997203,0.804083
1.71,0.9972,0.804088
1.72,0.997198,0.804097
1.73,0.997195,0.804109
1.74,0.997193,0.804121
1.75,0.997191,0.80413
1.76,0.997191,0.804134
1.77,0.997192,0.804131
1.78,0.997194,0.804124
1.79,0.997196,0.804112
1.8,0.9972,0.804099
1.81,0.997203,0.804085
1.82,0.997207,0.804072
1.83,0.997211,0.804064
1.84,0.997214,0.804061
1.85,0.997215,0.804066
1.86,0.997216,0.804076
1.87,0.997216,0.804089
1.88,0.997215,0.804104
1.89,0.997214,0.804119
1.9,0.997212,0.804133
1.91,0.99721,0.804146
1.92,0.997208,0.804159
1.93,0.997206,0.80417
1.94,0.997204,0.804181
1.95,0.997202,0.804188
1.96,0.9972,0.804191
1.97,0.997199,0.80419
1.98,0.997199,0.804184
1.99,0.997199,0.804176
2,0.997199,0.804165
2.01,0.997199,0.804154
2.02,0.9972,0.804143
2.03,0.9972,0.804133
2.04,0.9972,0.804126
2.05,0.997201,0.804122
2.06,0.997201,0.804119
2.07,0.997202,0.804117
2.08,0.997203,0.804116
2.09,0.997204,0.804116
2.1,0.997205,0.804116
2.11,0.997206,0.804116
2.12,0.997206,0.804114
2.13,0.997207,0.80411
2.14,0.997207,0.804104
2.15,0.997208,0.804095
2.16,0.997208,0.804083
2.17,0.997209,0.804067
2.18,0.99721,0.804049
2.19,0.997211,0.804028
2.2,0.997212,0.804006
2.21,0.997213,0.803986
2.22,0.997214,0.803969
2.23,0.997215,0.803959
