b:tnow in s,s:ut in p.u.,s:cur1 in p.u.
0,1.0493,0.814622
0.01,1.0493,0.814622
0.02,1.0493,0.814622
0.03,1.049301,0.814622
0.04,1.049301,0.814621
0.05,1.049302,0.81462
0.06,1.049302,0.814617
0.07,1.049304,0.814613
0.08,1.049306,0.814607
0.09,1.049308,0.814601
0.1,1.04931,0.814596
0.11,1.049312,0.814592
0.12,1.049312,0.814591
0.13,1.049312,0.814593
0.14,1.04931,0.814598
0.15,1.049308,0.814604
0.16,1.049305,0.814609
0.17,1.049303,0.814611
0.18,1.049302,0.81461
0.19,1.049302,0.814604
0.2,1.049302,0.814593
0.21,1.049304,0.814577
0.22,1.049306,0.814559
0.23,1.049309,0.81454
0.24,1.049311,0.814521
0.25,1.049314,0.814507
0.26,1.049315,0.8145
0.27,1.049316,0.814499
0.28,1.049316,0.814506
0.29,1.049315,0.814519
0.3,1.049313,0.814536
0.31,1.049311,0.814556
0.32,1.049309,0.814579
0.33,1.049306,0.814605
0.34,1.049303,0.814631
0.35,1.049299,0.814658
0.36,1.049295,0.814683
0.37,1.049291,0.814704
0.38,1.049288,0.814721
0.39,1.049285,0.814734
0.4,1.049282,0.814742
0.41,1.04928,0.814745
0.42,1.049279,0.814742
0.43,1.049277,0.814736
0.44,1.049277,0.814727
0.45,1.049276,0.814719
0.46,1.049276,0.814711
0.47,1.049276,0.814705
0.48,1.049276,0.814699
0.49,1.049278,0.814691
0.5,1.04928,0.814679
0.51,1.049284,0.814663
0.52,1.049289,0.814643
0.53,1.049295,0.814622
0.54,1.0493,0.814605
0.55,1.049304,0.814592
0.56,1.049307,0.814586
0.57,1.049308,0.814587
0.58,1.049308,0.814592
0.59,1.049307,0.814603
0.6,1.049305,0.814616
0.61,1.049303,0.814631
0.62,1.0493,0.814645
0.63,1.049298,0.814655
0.64,1.049297,0.81466
0.65,1.049297,0.814659
0.66,1.049297,0.814653
0.67,1.049299,0.814643
0.68,1.049301,0.814631
0.69,1.049303,0.814618
0.7,1.049305,0.814608
0.71,1.049306,0.814603
0.72,1.049306,0.814605
0.73,1.049305,0.814614
0.74,1.049303,0.814628
0.75,1.0493,0.814643
0.76,1.049297,0.814656
0.77,1.049294,0.814666
0.78,1.049292,0.814672
0.79,1.04929,0.814673
0.8,1.049289,0.814671
0.81,1.049288,0.814667
0.82,1.049288,0.814661
0.83,1.049288,0.814653
0.84,1.04929,0.814642
0.85,1.049292,0.81463
0.86,1.049294,0.814617
0.87,1.049296,0.814605
0.88,1.049299,0.814592
0.89,1.049302,0.81458
0.9,1.049306,0.814568
0.91,1.049309,0.814557
0.92,1.049312,0.814548
0.93,1.049314,0.814542
0.94,1.049316,0.814538
0.95,1.049316,0.814537
0.96,1.049317,0.814536
0.97,1.049316,0.814538
0.98,1.049315,0.814544
0.99,1.049313,0.814553
1,1.049309,0.814566
1.01,1.049306,0.814581
1.02,1.049302,0.814596
1.03,1.049298,0.814609
1.04,1.049295,0.814618
1.05,1.049293,0.814624
1.06,1.049291,0.814625
1.07,1.049291,0.814622
1.08,1.049292,0.814615
1.09,1.049293,0.814606
