b:tnow in s,s:ut in p.u.,s:cur1 in p.u.
0,1.0265,0.808879
0.01,1.0265,0.808877
0.02,1.026501,0.808876
0.03,1.026502,0.808872
0.04,1.026503,0.808866
0.05,1.026504,0.808858
0.06,1.026506,0.808848
0.07,1.026509,0.808837
0.08,1.026511,0.808825
0.09,1.026514,0.808815
0.1,1.026516,0.808808
0.11,1.026518,0.808805
0.12,1.026518,0.808808
0.13,1.026516,0.808816
0.14,1.026514,0.808829
0.15,1.02651,0.808845
0.16,1.026506,0.808861
0.17,1.026503,0.808875
0.18,1.0265,0.808886
0.19,1.026499,0.808892
0.2,1.026498,0.808893
0.21,1.0265,0.808889
0.22,1.026503,0.80888
0.23,1.026506,0.808867
0.24,1.026511,0.808851
0.25,1.026515,0.808835
0.26,1.026519,0.808823
0.27,1.026521,0.808816
0.28,1.026522,0.808815
0.29,1.026521,0.808819
0.3,1.026519,0.808828
0.31,1.026516,0.808841
0.32,1.026512,0.808857
0.33,1.026508,0.808874
0.34,1.026503,0.808893
0.35,1.026499,0.808911
0.36,1.026494,0.808927
0.37,1.026489,0.808939
0.38,1.026485,0.808949
0.39,1.026482,0.808957
0.4,1.026479,0.808962
0.41,1.026476,0.808966
0.42,1.026473,0.808969
0.43,1.026471,0.808973
0.44,1.026468,0.808978
0.45,1.026466,0.808982
0.46,1.026464,0.808985
0.47,1.026463,0.808985
0.48,1.026462,0.808981
0.49,1.026464,0.808971
0.5,1.026468,0.808956
0.51,1.026473,0.808936
0.52,1.026479,0.808915
0.53,1.026486,0.808895
0.54,1.026492,0.808879
0.55,1.026497,0.808869
0.56,1.0265,0.808865
0.57,1.026501,0.808866
0.58,1.026501,0.80887
0.59,1.0265,0.808875
0.6,1.026498,0.80888
0.61,1.026496,0.808884
0.62,1.026494,0.808885
0.63,1.026493,0.808882
0.64,1.026493,0.808877
0.65,1.026494,0.808869
0.66,1.026496,0.808859
0.67,1.026498,0.808848
0.68,1.026501,0.808838
0.69,1.026504,0.80883
0.7,1.026507,0.808826
0.71,1.026509,0.808826
0.72,1.026509,0.808832
0.73,1.026508,0.80884
0.74,1.026507,0.80885
0.75,1.026505,0.808859
0.76,1.026504,0.808866
0.77,1.026503,0.808869
0.78,1.026502,0.80887
0.79,1.026502,0.80887
0.8,1.026502,0.808869
0.81,1.026502,0.808869
0.82,1.026502,0.808867
0.83,1.026502,0.808864
0.84,1.026503,0.808858
0.85,1.026504,0.808851
0.86,1.026506,0.808843
0.87,1.026508,0.808835
0.88,1.026509,0.80883
0.89,1.026511,0.808827
0.9,1.026512,0.808827
0.91,1.026513,0.808831
