b:tnow in s,s:ut in p.u.,s:cur1 in p.u.
0,1.03,0.097465
0.01,1.03,0.097465
0.02,1.03,0.097464
0.03,1.03,0.097463
0.04,1.029999,0.097459
0.05,1.029999,0.097453
0.06,1.029998,0.097446
0.07,1.029998,0.097439
0.08,1.029997,0.097432
0.09,1.029997,0.097425
0.1,1.029996,0.097421
0.11,1.029996,0.097419
0.12,1.029996,0.097421
0.13,1.029996,0.097426
0.14,1.029996,0.097434
0.15,1.029996,0.097444
0.16,1.029997,0.097456
0.17,1.029997,0.097468
0.18,1.029998,0.09748
0.19,1.029999,0.097491
0.2,1.029999,0.097499
0.21,1.03,0.097503
0.22,1.03,0.097505
0.23,1.030001,0.097503
0.24,1.030001,0.097499
0.25,1.030002,0.097493
0.26,1.030002,0.097488
0.27,1.030002,0.097484
0.28,1.030002,0.097479
0.29,1.030001,0.097475
0.3,1.030001,0.097471
0.31,1.030001,0.097468
0.32,1.030001,0.097466
0.33,1.030001,0.097465
0.34,1.03,0.097466
0.35,1.03,0.097467
0.36,1.029999,0.097468
0.37,1.029999,0.097468
0.38,1.029999,0.097467
0.39,1.029999,0.097467
0.4,1.029999,0.097466
0.41,1.029999,0.097464
0.42,1.029999,0.097461
0.43,1.029999,0.097458
0.44,1.03,0.097454
0.45,1.03,0.09745
0.46,1.03,0.097447
0.47,1.03,0.097444
0.48,1.03,0.097442
0.49,1.03,0.09744
0.5,1.03,0.097439
0.51,1.029999,0.097438
0.52,1.029999,0.097437
0.53,1.029999,0.097435
0.54,1.029999,0.097434
0.55,1.029999,0.097431
0.56,1.029999,0.097429
0.57,1.029999,0.097426
0.58,1.029999,0.097423
0.59,1.029999,0.09742
0.6,1.029999,0.097419
0.61,1.03,0.097419
0.62,1.03,0.097421
0.63,1.03,0.097424
0.64,1.030001,0.097427
0.65,1.030001,0.097429
0.66,1.030001,0.097432
0.67,1.030002,0.097434
0.68,1.030002,0.097436
0.69,1.030002,0.097439
0.7,1.030002,0.097444
0.71,1.030002,0.097451
0.72,1.030001,0.097459
0.73,1.03,0.097468
0.74,1.03,0.097477
0.75,1.029999,0.097484
0.76,1.029999,0.097489
0.77,1.029998,0.097492
0.78,1.029998,0.097493
0.79,1.029998,0.097494
0.8,1.029998,0.097494
0.81,1.029999,0.097496
0.82,1.029999,0.097497
0.83,1.03,0.097498
0.84,1.030001,0.097499
0.85,1.030002,0.097499
0.86,1.030003,0.097499
0.87,1.030004,0.097497
0.88,1.030005,0.097496
0.89,1.030006,0.097494
0.9,1.030007,0.097492
0.91,1.030007,0.097491
0.92,1.030008,0.097489
0.93,1.030008,0.097487
0.94,1.030008,0.097484
0.95,1.030007,0.097481
0.96,1.030007,0.097479
0.97,1.030006,0.097477
0.98,1.030005,0.097477
0.99,1.030004,0.097478
