b:tnow in s,s:ut in p.u.,s:cur1 in p.u.
0,0.9831,0.866652
0.01,0.9831,0.866652
0.02,0.9831,0.866652
0.03,0.9831,0.866653
0.04,0.983101,0.866653
0.05,0.983101,0.866651
0.06,0.983102,0.866646
0.07,0.983103,0.866639
0.08,0.983105,0.866628
0.09,0.983107,0.866616
0.1,0.98311,0.866605
0.11,0.983112,0.866595
0.12,0.983113,0.86659
0.13,0.983113,0.866588
0.14,0.983112,0.866591
0.15,0.983111,0.866598
0.16,0.983108,0.866606
0.17,0.983105,0.866615
0.18,0.983103,0.866623
0.19,0.983101,0.866627
0.2,0.983099,0.866629
0.21,0.983099,0.866628
0.22,0.983099,0.866625
0.23,0.9831,0.866621
0.24,0.983101,0.866618
0.25,0.983102,0.866616
0.26,0.983103,0.866617
0.27,0.983103,0.866622
0.28,0.983103,0.86663
0.29,0.983102,0.86664
0.3,0.983102,0.866652
0.31,0.983101,0.866665
0.32,0.9831,0.866678
0.33,0.983099,0.866692
0.34,0.983097,0.866707
0.35,0.983095,0.866721
0.36,0.983093,0.866734
0.37,0.983091,0.866745
0.38,0.983089,0.866752
0.39,0.983088,0.866756
0.4,0.983087,0.866755
0.41,0.983088,0.866751
0.42,0.983088,0.866743
0.43,0.983089,0.866733
0.44,0.98309,0.866722
0.45,0.98309,0.866712
0.46,0.98309,0.866703
0.47,0.98309,0.866695
0.48,0.98309,0.866686
0.49,0.98309,0.866676
0.5,0.983092,0.866661
0.51,0.983094,0.866643
0.52,0.983098,0.866623
0.53,0.983101,0.866602
0.54,0.983105,0.866584
0.55,0.983107,0.866571
0.56,0.983109,0.866563
0.57,0.98311,0.86656
0.58,0.98311,0.866562
0.59,0.983109,0.866568
0.6,0.983108,0.866576
0.61,0.983106,0.866587
0.62,0.983104,0.866597
0.63,0.983103,0.866607
0.64,0.983102,0.866613
0.65,0.983101,0.866617
0.66,0.983101,0.866618
0.67,0.983101,0.866619
0.68,0.983101,0.86662
0.69,0.983101,0.866621
0.7,0.983101,0.866625
0.71,0.983101,0.866632
0.72,0.983099,0.866643
0.73,0.983097,0.866658
0.74,0.983094,0.866676
0.75,0.98309,0.866693
0.76,0.983087,0.866708
0.77,0.983084,0.866719
0.78,0.983082,0.866727
0.79,0.98308,0.866731
0.8,0.983079,0.866732
0.81,0.983078,0.866731
0.82,0.983078,0.866727
0.83,0.983079,0.86672
0.84,0.983081,0.866711
0.85,0.983084,0.8667
0.86,0.983087,0.866687
0.87,0.983091,0.866672
0.88,0.983096,0.866656
0.89,0.9831,0.86664
0.9,0.983105,0.866624
0.91,0.983108,0.86661
0.92,0.983112,0.866599
0.93,0.983114,0.866591
0.94,0.983115,0.866587
0.95,0.983115,0.866587
0.96,0.983115,0.866589
0.97,0.983115,0.866595
0.98,0.983113,0.866605
0.99,0.983111,0.866619
1,0.983108,0.866636
1.01,0.983104,0.866653
1.02,0.983099,0.86667
1.03,0.983095,0.866684
1.04,0.983091,0.866694
1.05,0.983088,0.866701
1.06,0.983086,0.866703
1.07,0.983084,0.866699
1.08,0.983085,0.86669
1.09,0.983086,0.866677
1.1,0.983088,0.866662
1.11,0.983091,0.866645
1.12,0.983095,0.866628
1.13,0.9831,0.86661
1.14,0.983105,0.866594
1.15,0.983109,0.86658
1.16,0.983113,0.866571
1.17,0.983116,0.866568
1.18,0.983118,0.866569
1.19,0.983119,0.866575
1.2,0.983118,0.866583
1.21,0.983117,0.866593
1.22,0.983116,0.866603
1.23,0.983115,0.866611
1.24,0.983114,0.866616
1.25,0.983113,0.86662
1.26,0.983111,0.866621
1.27,0.983108,0.866623
1.28,0.983104,0.866626
1.29,0.983099,0.866632
1.3,0.983093,0.86664
1.31,0.983087,0.866651
1.32,0.983082,0.866662
1.33,0.983077,0.866675
1.34,0.983074,0.866689
1.35,0.983072,0.866704
1.36,0.983071,0.86672
1.37,0.983072,0.866736
1.38,0.983074,0.866751
1.39,0.983077,0.866762
1.4,0.98308,0.866768
1.41,0.983084,0.866768
1.42,0.983088,0.866762
1.43,0.983091,0.866751
1.44,0.983093,0.866735
1.45,0.983094,0.866717
1.46,0.983094,0.866699
1.47,0.983093,0.866682
1.48,0.983091,0.86667
