b:tnow in s,s:ut in p.u.,s:cur1 in p.u.
0,0.982,0.81069
0.01,0.982,0.810691
0.02,0.982,0.810691
0.03,0.982,0.810691
0.04,0.982001,0.810691
0.05,0.982001,0.810689
0.06,0.982002,0.810684
0.07,0.982003,0.810675
0.08,0.982005,0.810663
0.09,0.982008,0.81065
0.1,0.98201,0.810637
0.11,0.982012,0.810628
0.12,0.982014,0.810622
0.13,0.982015,0.810621
0.14,0.982014,0.810625
0.15,0.982012,0.810633
0.16,0.98201,0.810643
0.17,0.982007,0.810654
0.18,0.982004,0.810664
0.19,0.982002,0.810671
0.2,0.982,0.810674
0.21,0.981999,0.810676
0.22,0.981999,0.810675
0.23,0.981999,0.810674
0.24,0.981999,0.810673
0.25,0.982,0.810674
0.26,0.982,0.810676
0.27,0.982,0.810682
0.28,0.982,0.810689
0.29,0.982,0.810698
0.3,0.981999,0.810709
0.31,0.981999,0.81072
0.32,0.981998,0.810731
0.33,0.981998,0.810742
0.34,0.981996,0.810754
0.35,0.981995,0.810765
0.36,0.981993,0.810774
0.37,0.981992,0.810781
0.38,0.98199,0.810784
0.39,0.98199,0.810783
0.4,0.98199,0.810779
0.41,0.98199,0.810771
0.42,0.981991,0.81076
0.43,0.981992,0.810748
0.44,0.981993,0.810736
0.45,0.981993,0.810726
0.46,0.981992,0.810718
0.47,0.981992,0.810712
0.48,0.981992,0.810705
0.49,0.981992,0.810696
0.5,0.981993,0.810684
0.51,0.981995,0.810668
0.52,0.981997,0.810649
0.53,0.982,0.81063
0.54,0.982003,0.810613
0.55,0.982006,0.810601
0.56,0.982007,0.810594
0.57,0.982008,0.810592
0.58,0.982008,0.810595
0.59,0.982007,0.810601
0.6,0.982006,0.81061
0.61,0.982005,0.810621
0.62,0.982003,0.810632
0.63,0.982002,0.810643
0.64,0.982001,0.81065
0.65,0.982,0.810656
0.66,0.982,0.810659
0.67,0.982,0.810663
0.68,0.982,0.810666
0.69,0.982,0.810669
0.7,0.982,0.810674
0.71,0.981999,0.810682
0.72,0.981997,0.810694
0.73,0.981995,0.81071
0.74,0.981992,0.810727
0.75,0.981988,0.810744
0.76,0.981985,0.810757
0.77,0.981982,0.810768
0.78,0.98198,0.810775
0.79,0.981978,0.810779
0.8,0.981977,0.81078
0.81,0.981976,0.810779
0.82,0.981976,0.810775
0.83,0.981978,0.810769
0.84,0.98198,0.81076
0.85,0.981983,0.810748
0.86,0.981987,0.810734
0.87,0.981991,0.810718
0.88,0.981996,0.810701
0.89,0.982,0.810683
0.9,0.982005,0.810665
0.91,0.982009,0.810649
0.92,0.982011,0.810636
0.93,0.982013,0.810627
0.94,0.982014,0.810622
0.95,0.982015,0.81062
0.96,0.982015,0.810622
0.97,0.982015,0.810627
0.98,0.982014,0.810637
0.99,0.982012,0.810652
1,0.982009,0.810669
1.01,0.982005,0.810688
1.02,0.982001,0.810705
1.03,0.981997,0.81072
1.04,0.981993,0.810732
1.05,0.981989,0.81074
1.06,0.981986,0.810743
1.07,0.981984,0.81074
1.08,0.981984,0.810731
1.09,0.981985,0.810718
1.1,0.981987,0.810702
1.11,0.981989,0.810685
1.12,0.981993,0.810667
1.13,0.981998,0.810648
1.14,0.982003,0.810631
1.15,0.982008,0.810617
1.16,0.982012,0.810608
1.17,0.982015,0.810604
1.18,0.982017,0.810606
1.19,0.982018,0.810612
1.2,0.982018,0.810621
1.21,0.982017,0.810631
1.22,0.982017,0.81064
1.23,0.982016,0.810648
1.24,0.982015,0.810653
1.25,0.982014,0.810656
1.26,0.982012,0.810658
1.27,0.982009,0.81066
1.28,0.982004,0.810664
1.29,0.981999,0.810671
1.3,0.981993,0.810681
1.31,0.981987,0.810692
1.32,0.981981,0.810705
1.33,0.981977,0.81072
1.34,0.981973,0.810735
1.35,0.981971,0.810751
1.36,0.981971,0.810768
1.37,0.981972,0.810784
1.38,0.981975,0.810798
1.39,0.981978,0.810807
1.4,0.981982,0.810812
1.41,0.981986,0.81081
1.42,0.98199,0.810802
1.43,0.981993,0.810789
1.44,0.981995,0.810772
1.45,0.981996,0.810753
1.46,0.981995,0.810734
1.47,0.981994,0.810718
1.48,0.981991,0.810706
1.49,0.981988,0.8107
1.5,0.981984,0.810698
1.51,0.981981,0.8107
1.52,0.981978,0.810704
1.53,0.981976,0.810709
1.54,0.981976,0.810714
1.55,0.981976,0.810718
1.56,0.981977,0.810721
1.57,0.981978,0.810723
1.58,0.98198,0.810725
1.59,0.981983,0.810726
1.6,0.981986,0.810725
1.61,0.981989,0.810723
1.62,0.981993,0.810719
1.63,0.981996,0.810716
1.64,0.981999,0.810712
1.65,0.982002,0.810708
1.66,0.982004,0.810704
1.67,0.982006,0.810701
1.68,0.982006,0.810699
1.69,0.982005,0.810699
1.7,0.982003,0.810698
1.71,0.982,0.810698
1.72,0.981997,0.810697
1.73,0.981993,0.810697
1.74,0.981989,0.810698
1.75,0.981986,0.810697
1.76,0.981985,0.810694
1.77,0.981985,0.810688
1.78,0.981986,0.810679
1.79,0.981989,0.810666
1.8,0.981993,0.810652
1.81,0.981999,0.810638
1.82,0.982004,0.810626
1.83,0.98201,0.810619
1.84,0.982015,0.810617
1.85,0.982018,0.810621
1.86,0.982019,0.810629
1.87,0.982019,0.81064
1.88,0.982018,0.81065
1.89,0.982016,0.810659
1.9,0.982013,0.810665
1.91,0.982011,0.810668
1.92,0.982009,0.810667
1.93,0.982008,0.810664
1.94,0.982007,0.810659
1.95,0.982007,0.810652
1.96,0.982006,0.810643
1.97,0.982007,0.810634
1.98,0.982007,0.810625
1.99,0.982006,0.81062
2,0.982006,0.810619
2.01,0.982005,0.810623
2.02,0.982004,0.810632
2.03,0.982002,0.810646
2.04,0.982,0.810665
2.05,0.981998,0.810685
2.06,0.981997,0.810705
2.07,0.981995,0.810721
2.08,0.981995,0.810732
2.09,0.981995,0.810738
2.1,0.981996,0.81074
2.11,0.981997,0.810739
2.12,0.981998,0.810735
2.13,0.981999,0.810729
2.14,0.982,0.810722
2.15,0.982002,0.810713
2.16,0.982003,0.810702
2.17,0.982005,0.81069
2.18,0.982007,0.810679
2.19,0.982008,0.810667
2.2,0.982009,0.810656
2.21,0.98201,0.810646
2.22,0.98201,0.810636
2.23,0.982011,0.810629
2.24,0.982011,0.810623
2.25,0.982011,0.810621
2.26,0.982011,0.810623
2.27,0.982009,0.810629
2.28,0.982007,0.81064
2.29,0.982005,0.810654
2.3,0.982002,0.810669
2.31,0.982,0.810682
2.32,0.982,0.810692
2.33,0.982,0.810696
2.34,0.982003,0.810694
2.35,0.982006,0.810687
2.36,0.982011,0.810676
2.37,0.982016,0.810665
2.38,0.98202,0.810655
2.39,0.982023,0.810648
2.4,0.982025,0.810645
2.41,0.982026,0.810646
2.42,0.982025,0.81065
2.43,0.982024,0.810657
2.44,0.982022,0.810664
2.45,0.982019,0.810672
2.46,0.982015,0.810681
2.47,0.982012,0.810692
2.48,0.982007,0.810705
2.49,0.982003,0.810719
2.5,0.982,0.810732
2.51,0.981997,0.810745
2.52,0.981995,0.810757
2.53,0.981994,0.810767
2.54,0.981993,0.810776
2.55,0.981994,0.810782
2.56,0.981995,0.810786
2.57,0.981996,0.810787
2.58,0.981998,0.810785
2.59,0.982001,0.81078
2.6,0.982003,0.810772
2.61,0.982005,0.810761
2.62,0.982006,0.81075
2.63,0.982006,0.810739
2.64,0.982006,0.810729
2.65,0.982005,0.810721
2.66,0.982004,0.810716
2.67,0.982003,0.810712
2.68,0.982001,0.81071
2.69,0.982,0.810709
2.7,0.981999,0.810711
2.71,0.981997,0.810714
2.72,0.981995,0.81072
2.73,0.981994,0.810725
2.74,0.981992,0.81073
2.75,0.981992,0.810733
2.76,0.981992,0.810734
2.77,0.981992,0.810732
2.78,0.981993,0.810726
2.79,0.981995,0.810717
2.8,0.981997,0.810704
2.81,0.981999,0.810689
2.82,0.982002,0.810675
2.83,0.982003,0.810664
2.84,0.982004,0.810657
2.85,0.982005,0.810653
2.86,0.982005,0.810651
2.87,0.982006,0.81065
2.88,0.982006,0.810648
2.89,0.982007,0.810645
2.9,0.982009,0.810643
2.91,0.98201,0.810642
2.92,0.982012,0.81064
2.93,0.982014,0.810638
2.94,0.982016,0.810633
2.95,0.982018,0.810626
2.96,0.98202,0.810616
2.97,0.982022,0.810605
2.98,0.982022,0.810594
2.99,0.982023,0.810582
3,0.982023,0.810571
3.01,0.982023,0.810562
3.02,0.982022,0.810555
3.03,0.982022,0.810551
3.04,0.982022,0.81055
3.05,0.982022,0.810551
3.06,0.982023,0.810556
3.07,0.982023,0.810563
3.08,0.982023,0.810573
3.09,0.982022,0.810586
3.1,0.98202,0.8106
3.11,0.982018,0.810613
3.12,0.982015,0.810624
3.13,0.982013,0.810632
3.14,0.982011,0.810637
3.15,0.982009,0.81064
3.16,0.982008,0.810641
3.17,0.982007,0.810643
3.18,0.982006,0.810645
3.19,0.982005,0.81065
3.2,0.982003,0.810657
3.21,0.982002,0.810668
3.22,0.981999,0.810681
3.23,0.981997,0.810696
3.24,0.981994,0.810712
3.25,0.981991,0.810727
3.26,0.981988,0.810739
3.27,0.981986,0.810746
3.28,0.981985,0.810748
3.29,0.981986,0.810744
3.3,0.981988,0.810736
3.31,0.98199,0.810725
3.32,0.981993,0.810714
3.33,0.981996,0.810703
3.34,0.981998,0.810695
3.35,0.981999,0.810687
3.36,0.982001,0.810682
3.37,0.982002,0.810678
3.38,0.982002,0.810676
3.39,0.982001,0.810677
3.4,0.982,0.810681
3.41,0.981998,0.810689
3.42,0.981995,0.810699
3.43,0.981992,0.81071
3.44,0.98199,0.81072
3.45,0.981988,0.810729
3.46,0.981987,0.810736
3.47,0.981987,0.81074
3.48,0.981987,0.810742
3.49,0.981988,0.810742
3.5,0.981989,0.810741
3.51,0.98199,0.810741
3.52,0.981992,0.81074
3.53,0.981994,0.810739
3.54,0.981996,0.810737
3.55,0.981998,0.810734
3.56,0.982,0.810731
3.57,0.982002,0.810728
3.58,0.982004,0.810725
3.59,0.982005,0.810723
3.6,0.982005,0.810721
3.61,0.982005,0.810718
3.62,0.982005,0.810713
3.63,0.982005,0.810705
3.64,0.982005,0.810696
3.65,0.982005,0.810686
3.66,0.982004,0.810678
3.67,0.982003,0.810673
3.68,0.982001,0.810672
3.69,0.981999,0.810674
3.7,0.981997,0.810678
3.71,0.981995,0.810684
3.72,0.981994,0.81069
3.73,0.981994,0.810696
3.74,0.981995,0.810699
3.75,0.981997,0.8107
3.76,0.981999,0.810698
3.77,0.982002,0.810692
3.78,0.982005,0.810682
3.79,0.982008,0.81067
3.8,0.982011,0.810658
3.81,0.982013,0.810649
3.82,0.982014,0.810643
3.83,0.982013,0.810642
3.84,0.982012,0.810643
3.85,0.98201,0.810646
3.86,0.982008,0.810649
3.87,0.982006,0.810652
3.88,0.982005,0.810655
3.89,0.982003,0.810656
3.9,0.982002,0.810656
3.91,0.982003,0.810652
3.92,0.982004,0.810646
3.93,0.982006,0.810637
3.94,0.982008,0.810627
3.95,0.982011,0.810615
3.96,0.982014,0.810605
3.97,0.982015,0.810597
3.98,0.982015,0.810593
3.99,0.982014,0.810592
4,0.982011,0.810596
4.01,0.982007,0.810604
4.02,0.982002,0.810617
4.03,0.981997,0.810633
4.04,0.981992,0.810652
4.05,0.981987,0.810672
4.06,0.981982,0.810692
4.07,0.981979,0.810711
4.08,0.981977,0.810728
4.09,0.981978,0.810738
4.1,0.981981,0.810742
4.11,0.981985,0.81074
4.12,0.981991,0.810734
4.13,0.981997,0.810727
4.14,0.982002,0.810721
4.15,0.982006,0.810718
4.16,0.982008,0.810718
4.17,0.982008,0.810721
4.18,0.982007,0.810726
4.19,0.982005,0.810733
