Study Cases\RMS mine\All calculations.ElmRes;Grid\G 01.ElmSym;Grid\G 01.ElmSym;Grid\G 01.ElmSym;Grid\G 01.ElmSym;Grid\G 02.ElmSym;Grid\G 02.ElmSym;Grid\G 02.ElmSym;Grid\G 02.ElmSym;Grid\G 03.ElmSym;Grid\G 03.ElmSym;Grid\G 03.ElmSym;Grid\G 03.ElmSym;Grid\G 04.ElmSym;Grid\G 04.ElmSym;Grid\G 04.ElmSym;Grid\G 04.ElmSym;Grid\G 05.ElmSym;Grid\G 05.ElmSym;Grid\G 05.ElmSym;Grid\G 05.ElmSym;Grid\G 06.ElmSym;Grid\G 06.ElmSym;Grid\G 06.ElmSym;Grid\G 06.ElmSym;Grid\G 07.ElmSym;Grid\G 07.ElmSym;Grid\G 07.ElmSym;Grid\G 07.ElmSym;Grid\G 08.ElmSym;Grid\G 08.ElmSym;Grid\G 08.ElmSym;Grid\G 08.ElmSym;Grid\G 09.ElmSym;Grid\G 09.ElmSym;Grid\G 09.ElmSym;Grid\G 09.ElmSym;Grid\G 10.ElmSym;Grid\G 10.ElmSym;Grid\G 10.ElmSym;Grid\G 10.ElmSym
"b:tnow in s";"s:ut in p.u.";"s:cur1 in p.u.";"s:Q1 in Mvar";"s:P1 in MW";"s:ut in p.u.";"s:cur1 in p.u.";"s:Q1 in Mvar";"s:P1 in MW";"s:ut in p.u.";"s:cur1 in p.u.";"s:Q1 in Mvar";"s:P1 in MW";"s:ut in p.u.";"s:cur1 in p.u.";"s:Q1 in Mvar";"s:P1 in MW";"s:ut in p.u.";"s:cur1 in p.u.";"s:Q1 in Mvar";"s:P1 in MW";"s:ut in p.u.";"s:cur1 in p.u.";"s:Q1 in Mvar";"s:P1 in MW";"s:ut in p.u.";"s:cur1 in p.u.";"s:Q1 in Mvar";"s:P1 in MW";"s:ut in p.u.";"s:cur1 in p.u.";"s:Q1 in Mvar";"s:P1 in MW";"s:ut in p.u.";"s:cur1 in p.u.";"s:Q1 in Mvar";"s:P1 in MW";"s:ut in p.u.";"s:cur1 in p.u.";"s:Q1 in Mvar";"s:P1 in MW"
0,000000;1,030000;0,097465;88,281415;1000,000000;0,982000;0,810690;198,251784;520,811072;0,983100;0,866652;205,144371;650,000000;0,997200;0,804108;109,905981;632,000000;1,012300;0,879780;165,763649;508,000000;1,049300;0,814622;212,411827;650,000000;1,063500;0,764412;101,175010;560,000000;1,027800;0,750563;0,439926;540,000000;1,026500;0,808879;22,841625;830,000000;1,047500;0,276458;146,158178;250,000000
0,010000;1,029980;0,097623;88,721644;1001,573314;0,981828;0,811537;198,415781;521,267674;0,982914;0,867509;205,322805;650,515993;0,997054;0,804877;110,164945;632,482454;1,012166;0,880508;165,934408;508,334821;1,049128;0,815403;212,680104;650,483335;1,063343;0,765067;101,431383;560,364228;1,027652;0,751594;0,600554;540,663421;1,026303;0,809422;23,057975;830,391528;1,047375;0,277692;146,604383;251,195860
0,020000;1,029979;0,097626;88,717390;1001,604780;0,981827;0,811516;198,408140;521,253695;0,982912;0,867510;205,315361;650,517277;0,997049;0,804878;110,160460;632,480100;1,012159;0,880500;165,925080;508,328616;1,049123;0,815400;212,674255;650,479785;1,063339;0,765077;101,429869;560,369621;1,027649;0,751593;0,596628;540,661832;1,026294;0,809428;23,047133;830,391011;1,047374;0,277608;146,606261;251,092230
0,030000;1,029978;0,097628;88,713568;1001,630366;0,981824;0,811497;198,399307;521,241975;0,982909;0,867508;205,308428;650,515479;0,997044;0,804874;110,155074;632,475025;1,012153;0,880491;165,917063;508,322397;1,049119;0,815396;212,668412;650,474933;1,063335;0,765083;101,427964;560,372029;1,027647;0,751582;0,593325;540,652307;1,026286;0,809431;23,037758;830,388582;1,047373;0,277547;146,604650;251,019106
0,040000;1,029977;0,097631;88,709525;1001,653783;0,981822;0,811481;198,390294;521,231829;0,982908;0,867502;205,301838;650,511746;0,997040;0,804867;110,149191;632,468043;1,012148;0,880482;165,910118;508,316639;1,049116;0,815390;212,662711;650,469486;1,063332;0,765085;101,425668;560,372486;1,027646;0,751562;0,590385;540,637222;1,026280;0,809432;23,029549;830,385401;1,047371;0,277501;146,600805;250,965512
0,050000;1,029977;0,097633;88,704907;1001,677482;0,981820;0,811465;198,381644;521,222826;0,982906;0,867495;205,295516;650,506822;0,997037;0,804858;110,143080;632,459741;1,012145;0,880475;165,904062;508,311619;1,049114;0,815383;212,657225;650,463912;1,063330;0,765085;101,423059;560,371679;1,027644;0,751536;0,587676;540,618209;1,026276;0,809433;23,022270;830,382207;1,047370;0,277465;146,595571;250,924017
0,060000;1,029976;0,097635;88,699557;1001,702997;0,981819;0,811451;198,373598;521,214691;0,982905;0,867487;205,289436;650,501162;0,997034;0,804848;110,136911;632,450523;1,012142;0,880468;165,898752;508,307465;1,049112;0,815377;212,651988;650,458488;1,063328;0,765083;101,420229;560,370055;1,027643;0,751507;0,585141;540,596331;1,026271;0,809433;23,015743;830,379435;1,047368;0,277434;146,589486;250,889826
0,070000;1,029976;0,097638;88,693432;1001,731267;0,981818;0,811438;198,366238;521,207237;0,982905;0,867477;205,283595;650,495044;0,997032;0,804836;110,130792;632,440673;1,012139;0,880463;165,894072;508,304215;1,049110;0,815370;212,647012;650,453369;1,063326;0,765081;101,417266;560,367905;1,027643;0,751474;0,582758;540,572302;1,026268;0,809434;23,009833;830,377328;1,047367;0,277406;146,582898;250,859847
0,080000;1,029976;0,097641;88,686553;1001,762842;0,981817;0,811426;198,359558;521,200328;0,982904;0,867468;205,277993;650,488631;0,997030;0,804824;110,124787;632,430390;1,012137;0,880459;165,889929;508,301849;1,049109;0,815364;212,642293;650,448628;1,063325;0,765078;101,414243;560,365417;1,027642;0,751438;0,580519;540,546615;1,026265;0,809435;23,004438;830,375999;1,047367;0,277380;146,576029;250,832099
