StateIndex,ModeIndex,RealPart,ImagPart
1,1,-6.60646281898170927e-06,-0.00000000000000000e+00
1,2,-2.11456595755908218e-05,-1.81716198859932434e-05
1,3,-2.11456595755908218e-05,1.81716198859932434e-05
1,4,2.25781083871666494e-05,0.00000000000000000e+00
1,5,-1.37474038285215078e-05,7.69122210607183263e-05
1,6,-1.37474038285215078e-05,-7.69122210607183263e-05
1,7,-1.06076454488486199e-05,-1.18104679992040912e-05
1,8,-1.06076454488486199e-05,1.18104679992040912e-05
1,9,-4.30442610374915985e-04,-9.64410147625694835e-04
1,10,-4.30442610374915985e-04,9.64410147625694835e-04
1,11,-6.73830110222021226e-04,-1.68833566400979572e-03
1,12,-6.73830110222021226e-04,1.68833566400979572e-03
1,13,-3.24641845440509693e-03,-1.67933250346819288e-02
1,14,-3.24641845440509693e-03,1.67933250346819288e-02
1,15,-7.97551789120895440e-04,-2.68522752153312408e-03
1,16,-7.97551789120895440e-04,2.68522752153312408e-03
1,17,2.38348090964205781e-05,0.00000000000000000e+00
1,18,-1.18329923731301870e-04,5.20175939625056039e-04
1,19,-1.18329923731301870e-04,-5.20175939625056039e-04
1,20,-1.87016013549769894e-04,-1.14779569122532856e-03
1,21,-1.87016013549769894e-04,1.14779569122532856e-03
1,22,1.55353384136136225e-05,4.29347968051951338e-05
1,23,1.55353384136136225e-05,-4.29347968051951338e-05
1,24,5.08067889431786847e-05,9.47128283603187852e-05
1,25,5.08067889431786847e-05,-9.47128283603187852e-05
1,26,-5.58251709865192685e-06,-2.79987760719325676e-06
1,27,-5.58251709865192685e-06,2.79987760719325676e-06
1,28,-6.74147314279505810e-06,0.00000000000000000e+00
1,29,-2.58750380724472534e-07,-1.23935870436369441e-07
1,30,-2.58750380724472534e-07,1.23935870436369441e-07
1,31,9.93077964921926722e-07,8.27383271352277610e-07
1,32,9.93077964921926722e-07,-8.27383271352277610e-07
1,33,1.05976697426638755e-05,-5.18469596427160588e-05
1,34,1.05976697426638755e-05,5.18469596427160588e-05
1,35,1.20103906342749819e-04,-4.36121445302161662e-04
1,36,1.20103906342749819e-04,4.36121445302161662e-04
1,37,-1.07220273201989007e-06,2.11526196946867635e-06
1,38,-1.07220273201989007e-06,-2.11526196946867635e-06
1,39,4.95244623160723900e-05,-2.91018338321187022e-04
1,40,4.95244623160723900e-05,2.91018338321187022e-04
1,41,-3.63863591365619609e-05,-0.00000000000000000e+00
1,42,1.79105492703080009e-04,0.00000000000000000e+00
1,43,3.99026607259230149e-05,0.00000000000000000e+00
1,44,3.98358922803278744e-15,0.00000000000000000e+00
1,46,6.25779351174027668e-16,0.00000000000000000e+00
1,47,1.00540525558870773e-15,0.00000000000000000e+00
1,48,-2.66263683401827995e-16,0.00000000000000000e+00
1,49,1.38247287759756300e-15,0.00000000000000000e+00
1,50,-4.69107324705903911e-16,-0.00000000000000000e+00
1,51,4.55783034345644779e-15,-0.00000000000000000e+00
1,52,1.51282539846875650e-05,0.00000000000000000e+00
1,53,3.50694665336052922e-05,0.00000000000000000e+00
1,54,-1.24909428955973331e-05,-0.00000000000000000e+00
1,55,-1.73175251633014638e-05,0.00000000000000000e+00
1,56,-2.04674770475214134e-07,0.00000000000000000e+00
1,57,-4.82749298891031520e-10,-0.00000000000000000e+00
1,58,-7.40611201464816134e-06,-3.84508026462987596e-06
1,59,-7.40611201464816134e-06,3.84508026462987596e-06
1,60,2.00014774117677839e-08,0.00000000000000000e+00
1,61,-4.58606022836936974e-07,-0.00000000000000000e+00
1,62,-1.25840120619721369e-05,-0.00000000000000000e+00
1,63,-2.80126677428732262e-07,0.00000000000000000e+00
1,64,3.77637191928295343e-07,5.25925777798436687e-07
1,65,3.77637191928295343e-07,-5.25925777798436687e-07
1,66,2.39558470258982141e-07,0.00000000000000000e+00
1,67,-7.71634303437238169e-07,0.00000000000000000e+00
1,68,-9.95463538014267811e-08,-6.26366107572152627e-08
1,69,-9.95463538014267811e-08,6.26366107572152627e-08
1,70,8.78117068244972234e-08,3.43191755692850939e-09
1,71,8.78117068244972234e-08,-3.43191755692850939e-09
1,72,-1.17892620709412266e-06,-1.45965347038623661e-06
1,73,-1.17892620709412266e-06,1.45965347038623661e-06
1,74,5.13832243729349710e-07,7.94312116270601480e-08
1,75,5.13832243729349710e-07,-7.94312116270601480e-08
