b:tnow in s,s:ut in p.u.,s:cur1 in p.u.,s:Q1 in Mvar,s:P1 in MW
0,1.0493,0.814622,212.411827,650
0.01,1.049189,0.81506,212.596286,650.250216
0.02,1.049185,0.815061,212.59063,650.249577
0.03,1.049182,0.81506,212.586023,650.248065
0.04,1.049179,0.815058,212.581752,650.246432
0.05,1.049178,0.815056,212.577781,650.24489
0.06,1.049176,0.815055,212.574079,650.243594
0.07,1.049175,0.815053,212.570621,650.242629
0.08,1.049174,0.815052,212.567385,650.242037
0.09,1.049173,0.815051,212.564352,650.241829
0.1,1.049172,0.815051,212.561505,650.241991
0.11,1.049172,0.815051,212.55883,650.242499
0.12,1.049172,0.815051,212.55631,650.243318
0.13,1.049171,0.815052,212.55393,650.244408
0.14,1.049171,0.815053,212.551676,650.245727
0.15,1.049171,0.815054,212.549533,650.247231
0.16,1.049171,0.815055,212.547486,650.248874
0.17,1.049171,0.815056,212.545522,650.250614
0.18,1.04917,0.815058,212.543627,650.252407
0.19,1.04917,0.815059,212.54179,650.254212
0.2,1.04917,0.81506,212.539998,650.25599
0.21,1.04917,0.815062,212.538242,650.257703
0.22,1.049171,0.815063,212.53651,650.259316
0.23,1.049171,0.815064,212.534794,650.260796
0.24,1.049171,0.815064,212.533087,650.26211
0.25,1.049171,0.815065,212.53138,650.263231
0.26,1.049171,0.815065,212.529668,650.264132
0.27,1.049172,0.815065,212.527945,650.264788
0.28,1.049172,0.815064,212.526207,650.265178
0.29,1.049172,0.815064,212.524449,650.265281
0.3,1.049173,0.815062,212.522669,650.265081
0.31,1.049173,0.815061,212.520863,650.264562
0.32,1.049174,0.815059,212.51903,650.263713
0.33,1.049175,0.815056,212.517169,650.262523
0.34,1.049175,0.815053,212.515278,650.260984
0.35,1.049176,0.815049,212.513357,650.25909
0.36,1.049177,0.815046,212.511406,650.256839
0.37,1.049178,0.815041,212.509426,650.25423
0.38,1.049179,0.815036,212.507418,650.251264
0.39,1.04918,0.815031,212.505382,650.247944
0.4,1.049181,0.815025,212.503321,650.244276
0.41,1.049182,0.815019,212.501237,650.240268
0.42,1.049183,0.815012,212.499132,650.23593
0.43,1.049185,0.815005,212.497008,650.231273
0.44,1.049186,0.814998,212.494868,650.22631
0.45,1.049187,0.81499,212.492715,650.221057
0.46,1.049189,0.814982,212.490553,650.21553
0.47,1.04919,0.814973,212.488385,650.209749
0.48,1.049192,0.814965,212.486214,650.203732
0.49,1.049193,0.814955,212.484044,650.197502
0.5,1.049195,0.814946,212.48188,650.19108
0.51,1.049197,0.814937,212.479724,650.18449
0.52,1.049198,0.814927,212.477581,650.177756
0.53,1.0492,0.814917,212.475456,650.170904
0.54,1.049202,0.814907,212.473352,650.16396
0.55,1.049203,0.814897,212.471274,650.156951
0.56,1.049205,0.814887,212.469227,650.149903
0.57,1.049207,0.814877,212.467213,650.142844
0.58,1.049208,0.814867,212.465238,650.135802
0.59,1.04921,0.814857,212.463306,650.128804
0.6,1.049212,0.814847,212.461421,650.121879
0.61,1.049213,0.814838,212.459587,650.115053
0.62,1.049215,0.814828,212.457809,650.108354
0.63,1.049216,0.814819,212.45609,650.101809
0.64,1.049218,0.81481,212.454434,650.095444
0.65,1.04922,0.814801,212.452846,650.089284
0.66,1.049221,0.814793,212.451328,650.083355
0.67,1.049223,0.814784,212.449885,650.07768
0.68,1.049224,0.814777,212.448519,650.072283
0.69,1.049225,0.814769,212.447234,650.067185
0.7,1.049227,0.814762,212.446033,650.062407
0.71,1.049228,0.814756,212.444918,650.057968
0.72,1.049229,0.81475,212.443893,650.053888
0.73,1.049231,0.814745,212.44296,650.050183
0.74,1.049232,0.81474,212.442121,650.046868
0.75,1.049233,0.814735,212.441377,650.043957
0.76,1.049234,0.814731,212.440732,650.041463
0.77,1.049235,0.814728,212.440186,650.039397
0.78,1.049235,0.814726,212.43974,650.037767
0.79,1.049236,0.814724,212.439395,650.036582
0.8,1.049237,0.814722,212.439153,650.035848
0.81,1.049238,0.814721,212.439014,650.035568
0.82,1.049238,0.814721,212.438977,650.035745
0.83,1.049239,0.814721,212.439044,650.036381
0.84,1.049239,0.814722,212.439213,650.037473
0.85,1.049239,0.814724,212.439485,650.039021
0.86,1.049239,0.814726,212.439858,650.04102
0.87,1.04924,0.814729,212.440331,650.043464
0.88,1.04924,0.814732,212.440902,650.046345
0.89,1.04924,0.814736,212.441572,650.049656
0.9,1.04924,0.814741,212.442337,650.053386
0.91,1.049239,0.814746,212.443195,650.057523
0.92,1.049239,0.814752,212.444144,650.062054
0.93,1.049239,0.814758,212.445182,650.066965
0.94,1.049238,0.814765,212.446306,650.072239
0.95,1.049238,0.814772,212.447512,650.077861
0.96,1.049237,0.814779,212.448798,650.083811
0.97,1.049237,0.814788,212.450161,650.090071
0.98,1.049236,0.814796,212.451595,650.096621
0.99,1.049236,0.814805,212.453099,650.10344
1,1.049235,0.814814,212.454667,650.110505
1.01,1.049234,0.814823,212.456296,650.117796
1.02,1.049233,0.814833,212.457981,650.125287
1.03,1.049232,0.814843,212.459718,650.132957
1.04,1.049231,0.814854,212.461503,650.14078
1.05,1.04923,0.814864,212.463331,650.148733
1.06,1.049229,0.814875,212.465196,650.156789
1.07,1.049228,0.814886,212.467095,650.164926
1.08,1.049227,0.814896,212.469022,650.173116
1.09,1.049226,0.814907,212.470973,650.181336
1.1,1.049224,0.814918,212.472942,650.189561
1.11,1.049223,0.814929,212.474924,650.197765
1.12,1.049222,0.81494,212.476915,650.205924
1.13,1.049221,0.814951,212.478909,650.214014
1.14,1.04922,0.814962,212.480901,650.222011
1.15,1.049218,0.814972,212.482887,650.229892
1.16,1.049217,0.814983,212.484861,650.237634
1.17,1.049216,0.814993,212.486819,650.245215
1.18,1.049215,0.815003,212.488756,650.252615
1.19,1.049213,0.815013,212.490667,650.259812
1.2,1.049212,0.815023,212.492547,650.266787
1.21,1.049211,0.815032,212.494392,650.273521
1.22,1.04921,0.815041,212.496198,650.279996
1.23,1.049209,0.815049,212.49796,650.286197
1.24,1.049207,0.815058,212.499675,650.292106
1.25,1.049206,0.815065,212.501339,650.297711
1.26,1.049205,0.815073,212.502947,650.302997
1.27,1.049204,0.81508,212.504496,650.307953
1.28,1.049203,0.815086,212.505984,650.312568
1.29,1.049202,0.815092,212.507406,650.316832
1.3,1.049201,0.815098,212.50876,650.320737
1.31,1.049201,0.815103,212.510043,650.324276
1.32,1.0492,0.815108,212.511254,650.327444
1.33,1.049199,0.815112,212.512389,650.330236
1.34,1.049198,0.815116,212.513446,650.332649
1.35,1.049198,0.815119,212.514424,650.334682
1.36,1.049197,0.815121,212.515322,650.336334
1.37,1.049197,0.815123,212.516138,650.337607
1.38,1.049196,0.815125,212.516871,650.338503
1.39,1.049196,0.815126,212.517521,650.339025
1.4,1.049196,0.815127,212.518086,650.339178
1.41,1.049195,0.815127,212.518567,650.338969
1.42,1.049195,0.815127,212.518965,650.338404
1.43,1.049195,0.815126,212.519278,650.337492
1.44,1.049195,0.815124,212.519508,650.336243
1.45,1.049195,0.815123,212.519655,650.334668
1.46,1.049195,0.81512,212.519721,650.332777
1.47,1.049195,0.815118,212.519707,650.330583
1.48,1.049196,0.815115,212.519613,650.328101
1.49,1.049196,0.815111,212.519443,650.325344
1.5,1.049196,0.815108,212.519198,650.322327
1.51,1.049197,0.815103,212.518879,650.319066
1.52,1.049197,0.815099,212.51849,650.315579
1.53,1.049198,0.815094,212.518032,650.311881
1.54,1.049198,0.815089,212.517509,650.307991
1.55,1.049199,0.815084,212.516923,650.303926
1.56,1.0492,0.815078,212.516278,650.299705
1.57,1.049201,0.815072,212.515576,650.295347
1.58,1.049201,0.815066,212.514821,650.290871
1.59,1.049202,0.81506,212.514015,650.286296
1.6,1.049203,0.815054,212.513163,650.28164
1.61,1.049204,0.815048,212.512269,650.276924
1.62,1.049205,0.815041,212.511335,650.272166
1.63,1.049206,0.815034,212.510366,650.267385
1.64,1.049207,0.815028,212.509365,650.2626
1.65,1.049208,0.815021,212.508336,650.25783
1.66,1.04921,0.815014,212.507283,650.253092
1.67,1.049211,0.815008,212.50621,650.248404
1.68,1.049212,0.815001,212.505121,650.243784
1.69,1.049213,0.814995,212.50402,650.239247
1.7,1.049215,0.814988,212.502909,650.23481
1.71,1.049216,0.814982,212.501794,650.230489
1.72,1.049217,0.814976,212.500678,650.226297
1.73,1.049218,0.81497,212.499565,650.222248
1.74,1.04922,0.814964,212.498457,650.218356
1.75,1.049221,0.814958,212.49736,650.214633
1.76,1.049222,0.814953,212.496276,650.21109
1.77,1.049224,0.814948,212.495208,650.207736
1.78,1.049225,0.814943,212.49416,650.204582
1.79,1.049226,0.814938,212.493135,650.201635
1.8,1.049228,0.814933,212.492136,650.198903
1.81,1.049229,0.814929,212.491165,650.196392
1.82,1.04923,0.814925,212.490226,650.194108
1.83,1.049232,0.814922,212.489321,650.192053
1.84,1.049233,0.814918,212.488452,650.190232
1.85,1.049234,0.814915,212.487622,650.188645
1.86,1.049236,0.814912,212.486833,650.187295
1.87,1.049237,0.81491,212.486086,650.186181
1.88,1.049238,0.814907,212.485384,650.185301
1.89,1.049239,0.814906,212.484728,650.184654
1.9,1.04924,0.814904,212.484119,650.184236
1.91,1.049242,0.814903,212.483558,650.184043
1.92,1.049243,0.814902,212.483048,650.184071
