b:tnow in s,s:ut in p.u.,s:cur1 in p.u.
0,1,0.925853
0.01,1,0.925853
0.02,1,0.925856
0.03,1,0.925857
0.04,1,0.925858
0.05,1,0.925857
0.06,1,0.925855
0.07,1.000002,0.925852
0.08,1.000004,0.925849
0.09,1.000008,0.925847
0.1,1.000011,0.925846
0.11,1.000013,0.925847
0.12,1.000013,0.925849
0.13,1.000012,0.925852
0.14,1.000009,0.925855
0.15,1.000005,0.925857
0.16,1.000001,0.925858
0.17,0.999996,0.925859
0.18,0.999993,0.92586
0.19,0.99999,0.92586
0.2,0.99999,0.925859
0.21,0.999991,0.925855
0.22,0.999995,0.925851
0.23,1.000001,0.925846
0.24,1.000007,0.925841
0.25,1.000012,0.925838
0.26,1.000016,0.925839
0.27,1.000018,0.925842
0.28,1.000018,0.925846
0.29,1.000016,0.92585
0.3,1.000014,0.925853
0.31,1.000012,0.925855
0.32,1.000009,0.925856
0.33,1.000005,0.925857
0.34,1,0.925858
0.35,0.999994,0.925861
0.36,0.999987,0.925863
0.37,0.999981,0.925865
0.38,0.999974,0.925866
0.39,0.999969,0.925868
0.4,0.999965,0.925869
0.41,0.999961,0.925869
0.42,0.999959,0.92587
0.43,0.999958,0.92587
0.44,0.999958,0.925873
0.45,0.999958,0.925877
0.46,0.999958,0.925882
0.47,0.999958,0.925887
0.48,0.999958,0.925891
0.49,0.999961,0.925893
0.5,0.999966,0.92589
0.51,0.999974,0.925884
0.52,0.999984,0.925877
0.53,0.999995,0.925871
0.54,1.000006,0.925866
0.55,1.000014,0.925861
0.56,1.000019,0.925858
0.57,1.000022,0.925853
0.58,1.000023,0.925848
0.59,1.000023,0.925843
0.6,1.000021,0.925838
0.61,1.000017,0.925835
0.62,1.000013,0.925833
0.63,1.000009,0.925833
0.64,1.000005,0.925835
0.65,1.000001,0.925837
0.66,0.999999,0.92584
0.67,0.999998,0.925843
0.68,0.999997,0.925848
0.69,0.999997,0.925853
0.7,0.999997,0.925859
0.71,0.999997,0.925866
0.72,0.999995,0.925872
0.73,0.999992,0.925878
0.74,0.999988,0.92588
0.75,0.999985,0.925879
0.76,0.999984,0.925875
0.77,0.999984,0.925868
0.78,0.999986,0.92586
0.79,0.999989,0.925852
0.8,0.999992,0.925846
0.81,0.999994,0.925842
0.82,0.999996,0.925841
0.83,0.999996,0.925842
0.84,0.999997,0.925844
0.85,0.999997,0.925848
0.86,0.999997,0.925852
0.87,0.999998,0.925856
0.88,0.999999,0.925859
0.89,1.000001,0.92586
0.9,1.000004,0.92586
0.91,1.000007,0.925859
0.92,1.000009,0.925859
0.93,1.00001,0.925859
0.94,1.00001,0.925859
0.95,1.000009,0.925859
0.96,1.000008,0.925859
0.97,1.000006,0.925859
0.98,1.000004,0.925859
0.99,1.000001,0.925859
1,0.999998,0.925859
1.01,0.999995,0.925859
1.02,0.999992,0.925857
1.03,0.999989,0.925854
1.04,0.999987,0.925852
1.05,0.999986,0.92585
1.06,0.999986,0.92585
1.07,0.999987,0.925849
1.08,0.999989,0.925849
1.09,0.999992,0.925849
1.1,0.999995,0.92585
1.11,0.999999,0.925851
1.12,1.000003,0.925851
1.13,1.000008,0.925851
1.14,1.000013,0.925851
1.15,1.000018,0.925851
1.16,1.000021,0.925852
1.17,1.000023,0.925853
1.18,1.000023,0.925854
1.19,1.000023,0.925852
1.2,1.000023,0.925849
1.21,1.000022,0.925843
1.22,1.000022,0.925837
1.23,1.000022,0.92583
1.24,1.000022,0.925825
1.25,1.00002,0.925822
1.26,1.000017,0.925823
1.27,1.00001,0.925828
1.28,1.000001,0.925837
1.29,0.999988,0.925849
1.3,0.999974,0.925862
1.31,0.999959,0.925876
1.32,0.999946,0.925888
1.33,0.999935,0.925899
1.34,0.999928,0.925909
1.35,0.999925,0.925916
1.36,0.999926,0.925921
1.37,0.99993,0.925922
1.38,0.999937,0.925921
1.39,0.999948,0.925914
1.4,0.99996,0.925903
1.41,0.999974,0.925889
1.42,0.999988,0.925873
1.43,0.999999,0.925858
1.44,1.000008,0.925846
1.45,1.000011,0.92584
1.46,1.000011,0.925839
1.47,1.000006,0.925843
1.48,0.999998,0.92585
1.49,0.999988,0.925859
1.5,0.999979,0.925868
1.51,0.99997,0.925877
1.52,0.999963,0.925885
1.53,0.999958,0.92589
1.54,0.999957,0.925894
1.55,0.999958,0.925895
1.56,0.999962,0.925896
1.57,0.999966,0.925895
1.58,0.999971,0.925893
1.59,0.999977,0.925889
1.6,0.999984,0.925883
1.61,0.999991,0.925875
1.62,0.999999,0.925865
1.63,1.000006,0.925855
1.64,1.000012,0.925846
1.65,1.000016,0.925838
1.66,1.00002,0.925831
1.67,1.000021,0.925828
1.68,1.00002,0.925829
1.69,1.000017,0.925833
1.7,1.000011,0.92584
1.71,1.000003,0.92585
1.72,0.999994,0.92586
1.73,0.999985,0.925869
1.74,0.999979,0.925874
1.75,0.999975,0.925875
1.76,0.999975,0.925873
1.77,0.999978,0.925868
1.78,0.999983,0.925862
1.79,0.99999,0.925857
1.8,0.999998,0.925852
1.81,1.000007,0.925848
1.82,1.000015,0.925845
1.83,1.000022,0.925843
1.84,1.000028,0.925842
1.85,1.000031,0.925842
1.86,1.000032,0.925842
1.87,1.000031,0.925841
1.88,1.000029,0.925839
1.89,1.000025,0.925838
1.9,1.000021,0.925837
1.91,1.000017,0.925837
1.92,1.000012,0.925839
1.93,1.000008,0.925842
1.94,1.000003,0.925845
1.95,1,0.925847
1.96,0.999998,0.925847
1.97,0.999997,0.925847
1.98,0.999996,0.925847
1.99,0.999996,0.925848
2,0.999997,0.925849
2.01,0.999998,0.925851
2.02,0.999999,0.925853
2.03,0.999999,0.925856
2.04,0.999999,0.925858
2.05,0.999999,0.92586
2.06,1,0.925861
2.07,1.000001,0.92586
2.08,1.000003,0.925858
2.09,1.000006,0.925855
2.1,1.000009,0.925851
2.11,1.000012,0.925847
2.12,1.000015,0.925842
2.13,1.000017,0.925838
2.14,1.000019,0.925834
2.15,1.00002,0.925832
2.16,1.000021,0.92583
2.17,1.000022,0.925829
2.18,1.000022,0.925829
2.19,1.000023,0.925829
2.2,1.000023,0.925831
2.21,1.000023,0.925834
2.22,1.000022,0.925838
2.23,1.00002,0.925844
2.24,1.000018,0.925849
2.25,1.000015,0.925854
2.26,1.000012,0.925858
2.27,1.000009,0.925859
2.28,1.000007,0.925859
2.29,1.000005,0.925858
2.3,1.000004,0.925855
2.31,1.000004,0.925851
2.32,1.000005,0.925846
2.33,1.000009,0.925839
2.34,1.000015,0.925831
2.35,1.000023,0.925822
2.36,1.000031,0.925813
2.37,1.000039,0.925807
2.38,1.000045,0.925805
2.39,1.000048,0.925807
2.4,1.000047,0.925811
2.41,1.000044,0.925817
2.42,1.000039,0.925825
2.43,1.000031,0.925832
2.44,1.000024,0.925839
2.45,1.000015,0.925846
2.46,1.000007,0.925852
