b:tnow in s,s:ut in p.u.,s:cur1 in p.u.
0,1.0475,0.278716
0.01,1.0475,0.278715
0.02,1.0475,0.278714
0.03,1.0475,0.278712
0.04,1.0475,0.27871
0.05,1.0475,0.278707
0.06,1.047501,0.278701
0.07,1.047501,0.278693
0.08,1.047502,0.278682
0.09,1.047504,0.278671
0.1,1.047505,0.27866
0.11,1.047506,0.278653
0.12,1.047506,0.278651
0.13,1.047506,0.278655
0.14,1.047505,0.278664
0.15,1.047504,0.278676
0.16,1.047502,0.27869
0.17,1.0475,0.278702
0.18,1.047499,0.278711
0.19,1.047498,0.278716
0.2,1.047498,0.278715
0.21,1.047499,0.278709
0.22,1.0475,0.278697
0.23,1.047502,0.278682
0.24,1.047504,0.278667
0.25,1.047505,0.278653
0.26,1.047507,0.278644
0.27,1.047507,0.278642
0.28,1.047507,0.278646
0.29,1.047507,0.278656
0.3,1.047506,0.27867
0.31,1.047505,0.278687
0.32,1.047504,0.278706
0.33,1.047502,0.278727
0.34,1.0475,0.278749
0.35,1.047498,0.278772
0.36,1.047496,0.278793
0.37,1.047494,0.278812
0.38,1.047492,0.278826
0.39,1.047491,0.278837
0.4,1.04749,0.278844
0.41,1.047489,0.278846
0.42,1.047488,0.278843
0.43,1.047488,0.278838
0.44,1.047488,0.27883
0.45,1.047488,0.278823
0.46,1.047487,0.278817
0.47,1.047487,0.27881
0.48,1.047487,0.278803
0.49,1.047488,0.278792
0.5,1.047489,0.278776
0.51,1.047492,0.278755
0.52,1.047495,0.278731
0.53,1.047498,0.278707
0.54,1.047502,0.278686
0.55,1.047504,0.278673
0.56,1.047506,0.278666
0.57,1.047507,0.278666
0.58,1.047507,0.27867
0.59,1.047507,0.278677
0.6,1.047506,0.278685
0.61,1.047504,0.278694
0.62,1.047503,0.278701
0.63,1.047502,0.278705
0.64,1.047501,0.278706
0.65,1.047501,0.278702
0.66,1.047501,0.278695
0.67,1.047501,0.278686
0.68,1.047502,0.278676
0.69,1.047502,0.278668
0.7,1.047503,0.278664
0.71,1.047503,0.278666
0.72,1.047503,0.278674
0.73,1.047501,0.278689
0.74,1.047499,0.278708
0.75,1.047497,0.278725
0.76,1.047495,0.278739
0.77,1.047494,0.278748
0.78,1.047493,0.278751
0.79,1.047493,0.27875
0.8,1.047493,0.278746
0.81,1.047493,0.278739
0.82,1.047493,0.278731
0.83,1.047494,0.278722
0.84,1.047495,0.27871
0.85,1.047496,0.278697
0.86,1.047497,0.278682
0.87,1.047499,0.278668
0.88,1.047501,0.278653
0.89,1.047503,0.27864
0.9,1.047505,0.278628
0.91,1.047507,0.27862
0.92,1.047508,0.278615
0.93,1.047509,0.278614
0.94,1.04751,0.278618
0.95,1.04751,0.278626
0.96,1.047509,0.278637
0.97,1.047509,0.27865
0.98,1.047508,0.278665
0.99,1.047506,0.278684
1,1.047504,0.278703
1.01,1.047502,0.278722
1.02,1.0475,0.278737
1.03,1.047498,0.278749
1.04,1.047497,0.278755
1.05,1.047495,0.278757
1.06,1.047494,0.278755
1.07,1.047494,0.278748
1.08,1.047494,0.278739
1.09,1.047495,0.278728
1.1,1.047496,0.278717
1.11,1.047497,0.278706
1.12,1.047499,0.278696
1.13,1.047501,0.278686
1.14,1.047503,0.278677
1.15,1.047505,0.278671
1.16,1.047507,0.278668
1.17,1.047508,0.27867
1.18,1.047509,0.278677
1.19,1.04751,0.278687
1.2,1.04751,0.2787
1.21,1.047509,0.278713
1.22,1.047509,0.278726
1.23,1.047509,0.278735
1.24,1.047508,0.278742
1.25,1.047508,0.278746
1.26,1.047506,0.278749
1.27,1.047504,0.278753
1.28,1.047501,0.278758
1.29,1.047497,0.278765
1.3,1.047493,0.278774
1.31,1.047489,0.278782
1.32,1.047485,0.27879
1.33,1.047481,0.278796
1.34,1.047479,0.2788
1.35,1.047478,0.278803
1.36,1.047478,0.278806
1.37,1.047479,0.278809
1.38,1.047481,0.278812
1.39,1.047484,0.278812
1.4,1.047487,0.278809
1.41,1.047491,0.278802
1.42,1.047494,0.278792
1.43,1.047497,0.278779
1.44,1.047499,0.278764
1.45,1.0475,0.278749
1.46,1.0475,0.278735
1.47,1.047499,0.278724
1.48,1.047497,0.278716
1.49,1.047494,0.278712
1.5,1.047492,0.27871
1.51,1.047489,0.27871
1.52,1.047487,0.27871
1.53,1.047486,0.278711
1.54,1.047485,0.27871
1.55,1.047485,0.278708
1.56,1.047486,0.278707
1.57,1.047487,0.278707
1.58,1.047488,0.278709
1.59,1.047489,0.278712
1.6,1.047491,0.278715
1.61,1.047494,0.278717
1.62,1.047496,0.278717
1.63,1.047499,0.278716
1.64,1.047501,0.278714
1.65,1.047503,0.27871
1.66,1.047504,0.278705
