b:tnow in s,s:ut in p.u.,s:cur1 in p.u.
0,0.982,0.814031
0.01,0.982,0.814031
0.02,0.982001,0.81403
0.03,0.982001,0.81403
0.04,0.982001,0.81403
0.05,0.982002,0.814027
0.06,0.982002,0.814021
0.07,0.982004,0.814009
0.08,0.982006,0.813994
0.09,0.982009,0.813976
0.1,0.982012,0.81396
0.11,0.982015,0.813947
0.12,0.982016,0.81394
0.13,0.982016,0.813941
0.14,0.982015,0.813948
0.15,0.982012,0.81396
0.16,0.982009,0.813975
0.17,0.982005,0.81399
0.18,0.982001,0.814004
0.19,0.981998,0.814014
0.2,0.981996,0.814019
0.21,0.981995,0.814019
0.22,0.981996,0.814016
0.23,0.981997,0.814011
0.24,0.981999,0.814006
0.25,0.982,0.814002
0.26,0.982001,0.814002
0.27,0.982002,0.814006
0.28,0.982001,0.814015
0.29,0.982001,0.814028
0.3,0.982,0.814043
0.31,0.981999,0.814061
0.32,0.981998,0.814079
0.33,0.981997,0.814098
0.34,0.981996,0.814118
0.35,0.981994,0.814137
0.36,0.981991,0.814155
0.37,0.981989,0.814169
0.38,0.981987,0.814177
0.39,0.981986,0.81418
0.4,0.981985,0.814176
0.41,0.981986,0.814166
0.42,0.981987,0.814151
0.43,0.981988,0.814132
0.44,0.981989,0.814112
0.45,0.981989,0.814093
0.46,0.981988,0.814077
0.47,0.981987,0.814062
0.48,0.981987,0.814048
0.49,0.981987,0.814033
0.5,0.981988,0.814013
0.51,0.981991,0.813988
0.52,0.981995,0.813961
0.53,0.982,0.813934
0.54,0.982004,0.813913
0.55,0.982007,0.813899
0.56,0.982009,0.813894
0.57,0.98201,0.813897
0.58,0.98201,0.813906
0.59,0.982009,0.813919
0.6,0.982008,0.813935
0.61,0.982006,0.813953
0.62,0.982004,0.813969
0.63,0.982002,0.813983
0.64,0.982001,0.813991
0.65,0.982,0.813995
0.66,0.982,0.813996
0.67,0.981999,0.813995
0.68,0.981999,0.813994
0.69,0.981999,0.813993
0.7,0.981999,0.813996
0.71,0.981998,0.814004
0.72,0.981996,0.814019
0.73,0.981992,0.814041
0.74,0.981988,0.814067
0.75,0.981984,0.814092
0.76,0.981981,0.814114
0.77,0.981978,0.814131
0.78,0.981976,0.814142
0.79,0.981975,0.814148
0.8,0.981975,0.814148
0.81,0.981975,0.814144
0.82,0.981975,0.814136
0.83,0.981977,0.814124
0.84,0.98198,0.814108
0.85,0.981983,0.814088
0.86,0.981987,0.814066
0.87,0.981992,0.814043
0.88,0.981997,0.814019
0.89,0.982002,0.813995
0.9,0.982007,0.813971
0.91,0.982011,0.81395
0.92,0.982014,0.813934
0.93,0.982016,0.813924
0.94,0.982017,0.81392
0.95,0.982017,0.813922
0.96,0.982017,0.813928
0.97,0.982016,0.813939
0.98,0.982015,0.813957
0.99,0.982012,0.81398
1,0.982008,0.814007
1.01,0.982004,0.814035
1.02,0.981999,0.814061
1.03,0.981994,0.814083
1.04,0.98199,0.814099
1.05,0.981985,0.814109
1.06,0.981982,0.814111
1.07,0.981981,0.814104
1.08,0.98198,0.81409
1.09,0.981982,0.81407
1.1,0.981984,0.814046
1.11,0.981988,0.814021
1.12,0.981992,0.813996
1.13,0.981997,0.81397
1.14,0.982003,0.813948
1.15,0.982009,0.813931
1.16,0.982014,0.813921
1.17,0.982018,0.813921
1.18,0.98202,0.813929
1.19,0.98202,0.813944
1.2,0.98202,0.813963
1.21,0.982019,0.813983
1.22,0.982018,0.814002
1.23,0.982018,0.814017
1.24,0.982017,0.814027
1.25,0.982016,0.814034
1.26,0.982013,0.814037
1.27,0.982009,0.81404
1.28,0.982003,0.814044
1.29,0.981995,0.814051
1.3,0.981986,0.814061
1.31,0.981976,0.814072
1.32,0.981968,0.814084
1.33,0.981961,0.814095
1.34,0.981956,0.814107
1.35,0.981954,0.81412
1.36,0.981955,0.814134
1.37,0.981958,0.814148
1.38,0.981963,0.814161
1.39,0.981969,0.814171
1.4,0.981977,0.814176
1.41,0.981984,0.814174
1.42,0.981992,0.814166
1.43,0.981997,0.81415
1.44,0.982001,0.81413
1.45,0.982003,0.814106
1.46,0.982001,0.814083
1.47,0.981998,0.814063
1.48,0.981993,0.814047
1.49,0.981987,0.814037
1.5,0.98198,0.814033
1.51,0.981975,0.814031
1.52,0.98197,0.814032
1.53,0.981967,0.814033
1.54,0.981967,0.814034
1.55,0.981967,0.814034
1.56,0.981969,0.814033
1.57,0.981972,0.814033
1.58,0.981975,0.814035
1.59,0.981979,0.814036
1.6,0.981984,0.814038
1.61,0.981989,0.814038
1.62,0.981995,0.814038
1.63,0.982,0.814037
1.64,0.982005,0.814036
1.65,0.982009,0.814034
1.66,0.982013,0.814031
1.67,0.982014,0.814029
1.68,0.982015,0.814027
1.69,0.982013,0.814027
1.7,0.982009,0.814027
1.71,0.982004,0.814028
1.72,0.981998,0.81403
1.73,0.981992,0.814032
1.74,0.981986,0.814034
1.75,0.981981,0.814034
1.76,0.981979,0.814029
1.77,0.981979,0.81402
1.78,0.981982,0.814005
1.79,0.981986,0.813986
1.8,0.981992,0.813965
1.81,0.982,0.813945
1.82,0.982008,0.813928
1.83,0.982015,0.813918
1.84,0.982021,0.813917
1.85,0.982025,0.813924
1.86,0.982027,0.813938
1.87,0.982027,0.813957
1.88,0.982025,0.813976
1.89,0.982022,0.813993
1.9,0.982019,0.814006
1.91,0.982015,0.814014
1.92,0.982012,0.814018
1.93,0.98201,0.814018
1.94,0.982008,0.814015
1.95,0.982007,0.814009
1.96,0.982006,0.814
1.97,0.982006,0.813989
1.98,0.982005,0.813979
1.99,0.982005,0.813971
2,0.982004,0.813967
2.01,0.982003,0.813969
2.02,0.982002,0.813976
2.03,0.982001,0.813991
2.04,0.981999,0.814011
2.05,0.981997,0.814034
2.06,0.981995,0.814058
2.07,0.981995,0.814077
2.08,0.981995,0.814091
2.09,0.981996,0.8141
2.1,0.981997,0.814103
2.11,0.981999,0.814103
2.12,0.982001,0.8141
2.13,0.982003,0.814094
2.14,0.982004,0.814085
2.15,0.982006,0.814073
2.16,0.982008,0.814059
2.17,0.98201,0.814042
2.18,0.982011,0.814025
2.19,0.982012,0.814007
2.2,0.982013,0.81399
2.21,0.982013,0.813973
