b:tnow in s,s:ut in p.u.,s:cur1 in p.u.
0,1,0.961545
0.01,1,0.961545
0.02,1.000001,0.96155
0.03,1.000002,0.961552
0.04,1.000002,0.961551
0.05,1.000002,0.96155
0.06,1.000003,0.961547
0.07,1.000005,0.961544
0.08,1.000007,0.961541
0.09,1.00001,0.961539
0.1,1.000014,0.961537
0.11,1.000016,0.961537
0.12,1.000017,0.961538
0.13,1.000016,0.96154
0.14,1.000014,0.961542
0.15,1.00001,0.961545
0.16,1.000005,0.961548
0.17,1.000001,0.96155
0.18,0.999996,0.961551
0.19,0.999993,0.961552
0.2,0.999991,0.961552
0.21,0.999991,0.961551
0.22,0.999992,0.96155
0.23,0.999995,0.961548
0.24,0.999997,0.961547
0.25,1,0.961546
0.26,1.000002,0.961546
0.27,1.000003,0.961547
0.28,1.000003,0.961548
0.29,1.000002,0.961549
0.3,1.000002,0.961549
0.31,1.000002,0.961549
0.32,1.000001,0.961548
0.33,1,0.961548
0.34,0.999999,0.961548
0.35,0.999996,0.961549
0.36,0.999993,0.96155
0.37,0.99999,0.961551
0.38,0.999988,0.961552
0.39,0.999986,0.961552
0.4,0.999986,0.961552
0.41,0.999986,0.961551
0.42,0.999987,0.961551
0.43,0.999988,0.96155
0.44,0.999988,0.961551
0.45,0.999988,0.961554
0.46,0.999987,0.961557
0.47,0.999985,0.96156
0.48,0.999983,0.961563
0.49,0.999983,0.961563
0.5,0.999984,0.961562
0.51,0.999988,0.961559
0.52,0.999993,0.961555
0.53,0.999998,0.961552
0.54,1.000003,0.96155
0.55,1.000007,0.961549
0.56,1.000009,0.961549
0.57,1.00001,0.961549
0.58,1.000009,0.961549
0.59,1.000008,0.961548
0.6,1.000007,0.961547
0.61,1.000005,0.961546
0.62,1.000003,0.961545
0.63,1.000001,0.961544
0.64,0.999999,0.961543
0.65,0.999998,0.961542
0.66,0.999998,0.961542
0.67,0.999998,0.961542
0.68,0.999998,0.961543
0.69,0.999998,0.961545
0.7,0.999998,0.961548
0.71,0.999997,0.961551
0.72,0.999994,0.961555
0.73,0.999991,0.96156
0.74,0.999986,0.961563
0.75,0.999982,0.961566
0.76,0.999978,0.961566
0.77,0.999976,0.961566
0.78,0.999974,0.961564
0.79,0.999973,0.961563
0.8,0.999973,0.961563
0.81,0.999974,0.961562
0.82,0.999975,0.961562
0.83,0.999976,0.961562
0.84,0.999979,0.961561
0.85,0.999982,0.961559
0.86,0.999987,0.961557
0.87,0.999992,0.961555
0.88,0.999997,0.961551
0.89,1.000003,0.961548
0.9,1.000008,0.961544
0.91,1.000013,0.961541
0.92,1.000016,0.96154
0.93,1.000018,0.961539
0.94,1.000019,0.961539
0.95,1.000019,0.961539
0.96,1.000018,0.961539
0.97,1.000016,0.96154
0.98,1.000014,0.961541
0.99,1.000011,0.961543
1,1.000007,0.961545
1.01,1.000001,0.961547
1.02,0.999996,0.961549
1.03,0.999991,0.96155
1.04,0.999986,0.961552
1.05,0.999982,0.961554
1.06,0.999979,0.961555
1.07,0.999977,0.961556
1.08,0.999977,0.961557
1.09,0.999979,0.961557
1.1,0.999982,0.961557
1.11,0.999985,0.961556
1.12,0.99999,0.961555
1.13,0.999997,0.961552
1.14,1.000003,0.961548
1.15,1.00001,0.961545
1.16,1.000016,0.961542
1.17,1.00002,0.961541
1.18,1.000022,0.961539
1.19,1.000023,0.961538
1.2,1.000023,0.961536
1.21,1.000022,0.961534
1.22,1.000021,0.961531
1.23,1.000021,0.961528
1.24,1.000021,0.961526
1.25,1.000019,0.961525
1.26,1.000016,0.961526
1.27,1.00001,0.96153
1.28,1.000002,0.961538
1.29,0.999991,0.961548
1.3,0.999979,0.961559
1.31,0.999967,0.961571
1.32,0.999955,0.961581
1.33,0.999947,0.96159
1.34,0.999941,0.961596
1.35,0.999939,0.9616
1.36,0.999941,0.9616
1.37,0.999945,0.961598
1.38,0.999953,0.961592
1.39,0.999962,0.961583
1.4,0.999974,0.961572
1.41,0.999985,0.961561
1.42,0.999995,0.96155
1.43,1.000003,0.961541
1.44,1.000008,0.961536
1.45,1.000009,0.961534
1.46,1.000007,0.961537
1.47,1.000001,0.961544
1.48,0.999993,0.961553
1.49,0.999984,0.961563
1.5,0.999975,0.961573
1.51,0.999967,0.961581
1.52,0.99996,0.961587
1.53,0.999957,0.96159
1.54,0.999955,0.961591
1.55,0.999957,0.961589
1.56,0.999959,0.961587
1.57,0.999963,0.961584
1.58,0.999967,0.96158
1.59,0.999973,0.961576
1.6,0.999979,0.96157
1.61,0.999987,0.961563
1.62,0.999995,0.961556
1.63,1.000002,0.961549
1.64,1.000008,0.961542
1.65,1.000014,0.961536
1.66,1.000018,0.961532
1.67,1.000021,0.961529
1.68,1.00002,0.961529
1.69,1.000018,0.961531
1.7,1.000012,0.961535
1.71,1.000005,0.961541
1.72,0.999996,0.961549
1.73,0.999987,0.961557
1.74,0.999979,0.961564
1.75,0.999973,0.96157
1.76,0.99997,0.961573
1.77,0.99997,0.961572
1.78,0.999973,0.96157
1.79,0.999978,0.961565
1.8,0.999986,0.96156
1.81,0.999995,0.961554
1.82,1.000005,0.961548
1.83,1.000013,0.961542
1.84,1.000021,0.961538
1.85,1.000026,0.961534
1.86,1.000029,0.961531
1.87,1.000029,0.961529
1.88,1.000027,0.961528
1.89,1.000024,0.961527
1.9,1.00002,0.961527
1.91,1.000016,0.961528
1.92,1.000013,0.96153
1.93,1.00001,0.961532
1.94,1.000008,0.961535
1.95,1.000006,0.961537
1.96,1.000004,0.961539
1.97,1.000003,0.96154
