b:tnow in s,s:ut in p.u.,s:cur1 in p.u.
0,1.0278,0.75058
0.01,1.0278,0.750579
0.02,1.0278,0.750578
0.03,1.027801,0.750575
0.04,1.027801,0.750572
0.05,1.027802,0.750566
0.06,1.027803,0.750559
0.07,1.027804,0.750549
0.08,1.027806,0.750537
0.09,1.027808,0.750524
0.1,1.02781,0.750513
0.11,1.027812,0.750505
0.12,1.027813,0.750502
0.13,1.027812,0.750505
0.14,1.027811,0.750514
0.15,1.027808,0.750527
0.16,1.027805,0.750543
0.17,1.027803,0.750559
0.18,1.0278,0.750572
0.19,1.027799,0.750581
0.2,1.027798,0.750584
0.21,1.027799,0.750581
0.22,1.027801,0.750572
0.23,1.027804,0.750558
0.24,1.027807,0.750542
0.25,1.02781,0.750527
0.26,1.027812,0.750516
0.27,1.027814,0.750512
0.28,1.027814,0.750514
0.29,1.027813,0.750523
0.3,1.027812,0.750537
0.31,1.027811,0.750555
0.32,1.027809,0.750576
0.33,1.027806,0.7506
0.34,1.027804,0.750625
0.35,1.027801,0.75065
0.36,1.027797,0.750674
0.37,1.027794,0.750694
0.38,1.027792,0.75071
0.39,1.027789,0.750722
0.4,1.027787,0.750728
0.41,1.027786,0.75073
0.42,1.027785,0.750727
0.43,1.027784,0.750719
0.44,1.027784,0.750709
0.45,1.027783,0.750698
0.46,1.027782,0.750688
0.47,1.027781,0.750677
0.48,1.027781,0.750666
0.49,1.027781,0.750651
0.5,1.027783,0.750633
0.51,1.027787,0.75061
0.52,1.027791,0.750583
0.53,1.027796,0.750557
0.54,1.027801,0.750534
0.55,1.027805,0.750517
0.56,1.027807,0.750506
0.57,1.027809,0.750502
0.58,1.027809,0.750502
0.59,1.027809,0.750504
0.6,1.027808,0.750509
0.61,1.027806,0.750515
0.62,1.027804,0.75052
0.63,1.027803,0.750523
0.64,1.027802,0.750524
0.65,1.027801,0.750522
0.66,1.027801,0.750517
0.67,1.027802,0.750511
0.68,1.027803,0.750504
0.69,1.027803,0.750499
0.7,1.027804,0.750498
0.71,1.027804,0.750503
0.72,1.027803,0.750514
0.73,1.027801,0.750532
0.74,1.027799,0.750553
0.75,1.027796,0.750574
0.76,1.027794,0.750592
0.77,1.027793,0.750604
0.78,1.027793,0.750611
0.79,1.027793,0.750613
0.8,1.027793,0.750611
0.81,1.027794,0.750608
0.82,1.027794,0.750603
0.83,1.027795,0.750596
0.84,1.027796,0.750588
0.85,1.027797,0.750577
0.86,1.027799,0.750566
0.87,1.0278,0.750554
0.88,1.027802,0.750543
0.89,1.027804,0.750534
0.9,1.027806,0.750526
0.91,1.027808,0.75052
0.92,1.027809,0.750518
0.93,1.02781,0.75052
0.94,1.027811,0.750525
0.95,1.027811,0.750534
0.96,1.027811,0.750546
0.97,1.02781,0.750559
0.98,1.027809,0.750575
0.99,1.027808,0.750592
1,1.027806,0.75061
1.01,1.027803,0.750627
1.02,1.027801,0.750641
