b:tnow in s,s:ut in p.u.,s:cur1 in p.u.
0,1,0.935615
0.01,1,0.935615
0.02,1,0.935618
0.03,1,0.935619
0.04,1,0.935619
0.05,0.999999,0.935619
0.06,0.999999,0.935617
0.07,1.000001,0.935614
0.08,1.000003,0.935611
0.09,1.000006,0.935609
0.1,1.000009,0.935609
0.11,1.000011,0.935611
0.12,1.000012,0.935614
0.13,1.00001,0.935617
0.14,1.000008,0.93562
0.15,1.000004,0.935621
0.16,0.999999,0.935621
0.17,0.999995,0.935622
0.18,0.999991,0.935623
0.19,0.999988,0.935623
0.2,0.999987,0.935622
0.21,0.999988,0.935618
0.22,0.999992,0.935613
0.23,0.999998,0.935606
0.24,1.000004,0.935601
0.25,1.000011,0.935598
0.26,1.000015,0.935599
0.27,1.000018,0.935603
0.28,1.000019,0.935608
0.29,1.000018,0.935613
0.3,1.000016,0.935616
0.31,1.000013,0.935618
0.32,1.00001,0.935619
0.33,1.000005,0.93562
0.34,1,0.935622
0.35,0.999993,0.935625
0.36,0.999985,0.935628
0.37,0.999977,0.93563
0.38,0.999969,0.935631
0.39,0.999963,0.935633
0.4,0.999957,0.935634
0.41,0.999953,0.935635
0.42,0.999951,0.935635
0.43,0.99995,0.935635
0.44,0.999951,0.935638
0.45,0.999951,0.935643
0.46,0.999952,0.935649
0.47,0.999953,0.935655
0.48,0.999955,0.935659
0.49,0.999958,0.93566
0.5,0.999964,0.935657
0.51,0.999974,0.93565
0.52,0.999985,0.935642
0.53,0.999997,0.935635
0.54,1.000008,0.935629
0.55,1.000016,0.935625
0.56,1.000022,0.93562
0.57,1.000025,0.935615
0.58,1.000025,0.935608
0.59,1.000025,0.935602
0.6,1.000022,0.935595
0.61,1.000019,0.935591
0.62,1.000015,0.935589
0.63,1.00001,0.93559
0.64,1.000005,0.935593
0.65,1.000001,0.935597
0.66,0.999998,0.935601
0.67,0.999996,0.935606
0.68,0.999995,0.935612
0.69,0.999994,0.935619
0.7,0.999994,0.935626
0.71,0.999993,0.935634
0.72,0.99999,0.935642
0.73,0.999987,0.935648
0.74,0.999984,0.93565
0.75,0.999981,0.935648
0.76,0.99998,0.935641
0.77,0.999982,0.935632
0.78,0.999985,0.935621
0.79,0.999989,0.93561
0.8,0.999993,0.935602
0.81,0.999996,0.935598
