b:tnow in s,s:ut in p.u.,s:cur1 in p.u.
0,1.0265,0.808978
0.01,1.0265,0.808976
0.02,1.026501,0.808974
0.03,1.026502,0.80897
0.04,1.026503,0.808964
0.05,1.026505,0.808955
0.06,1.026507,0.808945
0.07,1.026509,0.808933
0.08,1.026513,0.808919
0.09,1.026516,0.808907
0.1,1.026519,0.808897
0.11,1.026521,0.808893
0.12,1.026521,0.808895
0.13,1.02652,0.808904
0.14,1.026517,0.808918
0.15,1.026512,0.808936
0.16,1.026508,0.808953
0.17,1.026503,0.808969
0.18,1.0265,0.808982
0.19,1.026498,0.808989
0.2,1.026497,0.808991
0.21,1.026499,0.808987
0.22,1.026502,0.808976
0.23,1.026507,0.808961
0.24,1.026513,0.808942
0.25,1.026518,0.808924
0.26,1.026523,0.808909
0.27,1.026525,0.808901
0.28,1.026526,0.808899
0.29,1.026525,0.808904
0.3,1.026522,0.808915
0.31,1.026519,0.808931
0.32,1.026514,0.808951
0.33,1.026509,0.808973
0.34,1.026503,0.808996
0.35,1.026496,0.80902
0.36,1.02649,0.80904
0.37,1.026484,0.809058
0.38,1.026478,0.809072
0.39,1.026473,0.809082
0.4,1.02647,0.809089
0.41,1.026466,0.809093
0.42,1.026464,0.809095
0.43,1.026462,0.809096
0.44,1.02646,0.809097
0.45,1.026459,0.809096
0.46,1.026457,0.809095
0.47,1.026457,0.80909
0.48,1.026458,0.809082
0.49,1.02646,0.809068
0.5,1.026465,0.809049
0.51,1.026472,0.809026
0.52,1.02648,0.809001
0.53,1.026489,0.808979
0.54,1.026496,0.808962
0.55,1.026502,0.808952
0.56,1.026505,0.808951
0.57,1.026505,0.808955
0.58,1.026504,0.808964
0.59,1.026502,0.808975
0.6,1.026499,0.808985
0.61,1.026496,0.808992
0.62,1.026494,0.808995
0.63,1.026492,0.808994
0.64,1.026491,0.808988
0.65,1.026492,0.808979
0.66,1.026494,0.808966
0.67,1.026497,0.808951
0.68,1.026501,0.808937
0.69,1.026504,0.808925
0.7,1.026507,0.808918
0.71,1.026509,0.808917
0.72,1.026509,0.808923
0.73,1.026508,0.808934
0.74,1.026505,0.808948
0.75,1.026502,0.808961
0.76,1.0265,0.808972
0.77,1.026498,0.80898
0.78,1.026497,0.808984
0.79,1.026497,0.808985
0.8,1.026498,0.808984
0.81,1.026498,0.808982
0.82,1.026499,0.808978
0.83,1.0265,0.808971
0.84,1.026502,0.808961
0.85,1.026504,0.808949
0.86,1.026507,0.808935
0.87,1.02651,0.808923
0.88,1.026512,0.808912
0.89,1.026515,0.808904
0.9,1.026517,0.808901
0.91,1.026519,0.808902
0.92,1.02652,0.808906
0.93,1.02652,0.808914
0.94,1.02652,0.808926
0.95,1.026518,0.808939
0.96,1.026517,0.808954
0.97,1.026515,0.808968
0.98,1.026512,0.808982
0.99,1.026509,0.808995
1,1.026505,0.809007
1.01,1.026501,0.809016
1.02,1.026497,0.809022
1.03,1.026494,0.809022
1.04,1.026492,0.809017
1.05,1.026492,0.809006
1.06,1.026492,0.808992
1.07,1.026493,0.808975
1.08,1.026495,0.808959
1.09,1.026498,0.808945
1.1,1.0265,0.808935
1.11,1.026502,0.808929
1.12,1.026504,0.808926
1.13,1.026507,0.808925
1.14,1.02651,0.808923
1.15,1.026513,0.808922
1.16,1.026516,0.808921
1.17,1.026518,0.808923
1.18,1.026519,0.808927
1.19,1.026519,0.808935
1.2,1.026519,0.808945
1.21,1.026517,0.808958
1.22,1.026515,0.808971
1.23,1.026513,0.808984
1.24,1.026511,0.808995
1.25,1.026508,0.809003
1.26,1.026505,0.809008
1.27,1.026502,0.809011
1.28,1.026497,0.809014
1.29,1.026491,0.809018
1.3,1.026484,0.809023
1.31,1.026478,0.809028
1.32,1.026472,0.809033
1.33,1.026467,0.809036
1.34,1.026464,0.809039
1.35,1.026462,0.80904
1.36,1.026462,0.80904
1.37,1.026464,0.809039
1.38,1.026466,0.809039
1.39,1.026469,0.809037
1.4,1.026474,0.809035
1.41,1.026478,0.809031
1.42,1.026484,0.809025
1.43,1.026488,0.809016
1.44,1.026493,0.809004
1.45,1.026496,0.808989
1.46,1.026499,0.808972
1.47,1.0265,0.808955
1.48,1.026501,0.80894
1.49,1.0265,0.808929
1.5,1.026498,0.808922
1.51,1.026495,0.80892
1.52,1.026493,0.808923
1.53,1.02649,0.80893
1.54,1.026488,0.808938
1.55,1.026487,0.808946
1.56,1.026487,0.808954
1.57,1.026487,0.808962
1.58,1.026487,0.808972
1.59,1.026487,0.808981
1.6,1.026488,0.80899
1.61,1.026489,0.808996
1.62,1.026491,0.808999
1.63,1.026494,0.808999
1.64,1.026497,0.808995
1.65,1.0265,0.808989
1.66,1.026503,0.808982
1.67,1.026505,0.808976
1.68,1.026506,0.808971
1.69,1.026506,0.808968
1.7,1.026505,0.808966
1.71,1.026503,0.808965
1.72,1.0265,0.808967
1.73,1.026497,0.80897
1.74,1.026494,0.808975
1.75,1.026491,0.808981
1.76,1.02649,0.808986
1.77,1.02649,0.808988
1.78,1.026492,0.808988
1.79,1.026495,0.808986
1.8,1.026499,0.808983
1.81,1.026503,0.80898
1.82,1.026508,0.808977
1.83,1.026512,0.808975
1.84,1.026515,0.808975
1.85,1.026517,0.808974
1.86,1.026518,0.808972
1.87,1.026519,0.808968
1.88,1.026519,0.808964
1.89,1.02652,0.808959
1.9,1.02652,0.808954
1.91,1.02652,0.808951
1.92,1.02652,0.808949
1.93,1.02652,0.80895
1.94,1.026519,0.808954
1.95,1.026517,0.808962
1.96,1.026515,0.808972
1.97,1.026512,0.808982
1.98,1.026509,0.808993
1.99,1.026506,0.809002
2,1.026503,0.80901
2.01,1.0265,0.809017
2.02,1.026498,0.809024
2.03,1.026495,0.809031
2.04,1.026492,0.809038
2.05,1.02649,0.809043
2.06,1.026489,0.809045
2.07,1.026489,0.809043
2.08,1.026491,0.809036
2.09,1.026493,0.809026
2.1,1.026497,0.809014
2.11,1.026501,0.808998
2.12,1.026505,0.808981
2.13,1.02651,0.808962
2.14,1.026515,0.80894
2.15,1.02652,0.808917
2.16,1.026526,0.808893
2.17,1.026531,0.808869
2.18,1.026536,0.808847
2.19,1.02654,0.80883
2.2,1.026543,0.808819
2.21,1.026545,0.808816
2.22,1.026545,0.808821
2.23,1.026544,0.808832
2.24,1.026541,0.808848
2.25,1.026538,0.808869
2.26,1.026534,0.808892
2.27,1.026529,0.808916
2.28,1.026524,0.808941
2.29,1.026519,0.808965
2.3,1.026514,0.808987
2.31,1.02651,0.809004
2.32,1.026507,0.809016
2.33,1.026506,0.809019
2.34,1.026508,0.809014
2.35,1.026512,0.809
2.36,1.026518,0.80898
2.37,1.026524,0.808956
2.38,1.026531,0.808932
2.39,1.026536,0.808912
2.4,1.02654,0.808895
2.41,1.026541,0.808884
2.42,1.026541,0.808879
2.43,1.02654,0.808879
2.44,1.026537,0.808885
2.45,1.026533,0.808894
2.46,1.026528,0.808906
2.47,1.026522,0.80892
2.48,1.026517,0.808931
2.49,1.026513,0.80894
2.5,1.02651,0.808945
2.51,1.026508,0.808948
2.52,1.026507,0.808949
2.53,1.026507,0.808951
2.54,1.026506,0.808955
2.55,1.026505,0.80896
2.56,1.026503,0.808968
2.57,1.026502,0.808977
2.58,1.026501,0.808986
2.59,1.0265,0.808993
2.6,1.0265,0.808996
