k,Cluster,Frequency,Damping,Size
1,1,0.6508202024533215,-0.34890432546230665,55
2,1,0.6823220639570229,-0.44883367114637157,18
2,2,0.6354949725326019,-0.3002900491835723,37
3,1,0.6823220639570229,-0.44883367114637157,18
3,2,0.5489528482192939,-0.3163093598117038,31
3,3,1.0826292814846934,-0.21752361093822642,6
4,1,1.0826292814846934,-0.21752361093822642,6
4,2,0.8089327768300367,-0.44536432549462396,14
4,3,0.6329217056025658,-0.32808311035963766,26
4,4,0.16870135830414407,-0.34659275650246585,9
5,1,0.8089327768300367,-0.44536432549462396,14
5,2,1.0826292814846934,-0.21752361093822642,6
5,3,0.6329217056025658,-0.32808311035963766,26
5,4,0.20352578058344978,-0.2585411063164453,5
5,5,0.12517083045501165,-0.45665731923499153,4
6,1,0.9835451071879928,-0.4444147129160022,7
6,2,0.6329122087398532,-0.32549810822007663,25
6,3,0.12517083045501165,-0.45665731923499153,4
6,4,1.0826292814846934,-0.21752361093822642,6
6,5,0.20352578058344978,-0.2585411063164453,5
6,6,0.6341752815593682,-0.43961321629517286,8
7,1,0.6341752815593682,-0.43961321629517286,8
7,2,0.6329122087398532,-0.32549810822007663,25
7,3,0.10785971614517176,-0.4837324532870968,3
7,4,0.9835451071879928,-0.4444147129160022,7
7,5,1.0826292814846934,-0.21752361093822642,6
7,6,0.1431063832450632,-0.18274196425361425,2
7,7,0.22713007745291358,-0.32566338003841844,4
8,1,0.10785971614517176,-0.4837324532870968,3
8,2,0.6329122087398532,-0.32549810822007663,25
8,3,1.0795520440564261,-0.20167891951207403,5
8,4,0.6341752815593682,-0.43961321629517286,8
8,5,0.1431063832450632,-0.18274196425361425,2
8,6,0.9835451071879928,-0.4444147129160022,7
8,7,0.22713007745291358,-0.32566338003841844,4
8,8,1.0980154686260302,-0.2967470680689882,1
9,1,0.6351649017565276,-0.4663473432100173,4
9,2,1.0795520440564261,-0.20167891951207403,5
9,3,0.6329122087398532,-0.32549810822007663,25
9,4,0.10785971614517176,-0.4837324532870968,3
9,5,0.22713007745291358,-0.32566338003841844,4
9,6,0.9835451071879928,-0.4444147129160022,7
9,7,0.1431063832450632,-0.18274196425361425,2
9,8,1.0980154686260302,-0.2967470680689882,1
9,9,0.6331856613622088,-0.41287908938032847,4
10,1,0.10785971614517176,-0.4837324532870968,3
10,2,0.9835451071879928,-0.4444147129160022,7
10,3,0.6126475349693288,-0.29904757195481557,5
10,4,1.0795520440564261,-0.20167891951207403,5
10,5,0.1431063832450632,-0.18274196425361425,2
10,6,0.6351649017565276,-0.4663473432100173,4
10,7,0.6379783771824843,-0.3321107422863919,20
10,8,0.22713007745291358,-0.32566338003841844,4
10,9,1.0980154686260302,-0.2967470680689882,1
10,10,0.6331856613622088,-0.41287908938032847,4
