k,Cluster,Frequency,Damping,Size
1,1,0.6342976159444343,-0.3538347713509873,124
2,1,0.917903300503709,-0.5226633171187607,38
2,2,0.5089834762554526,-0.27923611159313394,86
3,1,0.9221823691809463,-0.5423174545649558,34
3,2,0.14311004429133006,-0.21383463641609715,23
3,3,0.6568234747202553,-0.30624659036930885,67
4,1,0.6568234747202553,-0.30624659036930885,67
4,2,0.14311004429133006,-0.21383463641609715,23
4,3,1.0163280088066475,-0.5153604660960892,30
4,4,0.21609007198818558,-0.7444948680814549,4
5,1,0.6365447651447607,-0.30790862579453576,64
5,2,1.2068329518902026,-0.7871385530474371,4
5,3,0.14311004429133006,-0.21383463641609715,23
5,4,0.21609007198818558,-0.7444948680814549,4
5,5,0.9976143549527943,-0.45257342326159766,29
6,1,1.2068329518902026,-0.7871385530474371,4
6,2,0.713584637211587,-0.20338225723847247,16
6,3,0.6192448442829951,-0.34111904953897787,49
6,4,0.14311004429133006,-0.21383463641609715,23
6,5,0.21609007198818558,-0.7444948680814549,4
6,6,0.9967617749158416,-0.4593511350789694,28
7,1,0.974659617377081,-0.5343980362485568,18
7,2,0.6930578399598616,-0.19942124156269134,15
7,3,0.21609007198818558,-0.7444948680814549,4
7,4,1.3685885980394552,-0.8870502705933357,2
7,5,0.14311004429133006,-0.21383463641609715,23
7,6,0.6192448442829951,-0.34111904953897787,49
7,7,1.036699830178883,-0.3753783302396452,13
8,1,0.6245197915955603,-0.3341659160482767,53
8,2,1.036699830178883,-0.3753783302396452,13
8,3,0.21609007198818558,-0.7444948680814549,4
8,4,0.1349445162511702,-0.16815389899674174,14
8,5,0.974659617377081,-0.5343980362485568,18
8,6,0.7244070825620688,-0.1715810423514321,10
8,7,1.3685885980394552,-0.8870502705933357,2
8,8,0.17975529802635098,-0.2843590128393149,10
9,1,0.6245276880708281,-0.3358714378875639,52
9,2,0.9658574063315972,-0.5152944363419341,16
9,3,0.17527012227764155,-0.2791483037035095,11
9,4,0.21609007198818558,-0.7444948680814549,4
9,5,0.715289090954756,-0.17829901853815117,11
9,6,1.3685885980394552,-0.8870502705933357,2
9,7,1.036699830178883,-0.3753783302396452,13
9,8,0.13529268174814119,-0.16362410566222532,13
9,9,1.04507730574095,-0.6872268355015383,2
10,1,0.629079579469734,-0.35126243807205265,41
10,2,0.9671560667634111,-0.49870317479689885,20
10,3,0.13529268174814119,-0.16362410566222532,13
10,4,0.21609007198818558,-0.7444948680814549,4
10,5,1.04507730574095,-0.6872268355015383,2
10,6,0.783634680481289,-0.13901292583853903,6
10,7,1.0652994398180904,-0.3500628642942617,9
10,8,0.15327261559747524,-0.2791083263961305,10
10,9,1.3685885980394552,-0.8870502705933357,2
10,10,0.6026349487128151,-0.26295967852146446,17
